s_datecolct,s_est,m_est
26-Jun-15,746,981.5
27-Jun-15,573.9,491
28-Jun-15,963.5,944.4
29-Jun-15,962.5,1248
30-Jun-15,384.5,1617
1-Jul-15,882.5,1069
2-Jul-15,352.1,788
4-Jul-15,424.5,721.5
5-Jul-15,482.9,970.9
6-Jul-15,413.7,386.6
7-Jul-15,690.5,1270.6
8-Jul-15,593.6,715.6
9-Jul-15,1255.1,457.3
10-Jul-15,910.3,584.6
11-Jul-15,2502.5,1346.5
12-Jul-15,1121.1,943.4
13-Jul-15,1100.8,1929.3
13-Jul-15,776.7,1307.7
14-Jul-15,804.6,909.6
15-Jul-15,1068.4,878.7
16-Jul-15,1863.5,1087.6
17-Jul-15,846.4,1053
18-Jul-15,761.2,859.7
19-Jul-15,891.1,1111.2
20-Jul-15,375.9,985.1
21-Jul-15,472.2,1112
22-Jul-15,818.3,1126
23-Jul-15,412.6,na
24-Jul-15,1149.8,873.9
25-Jul-15,824.2,761.1
26-Jul-15,344.1,1187.2
27-Jul-15,625.9,668.2
28-Jul-15,350.7,386
29-Jul-15,841.8,712.3
30-Jul-15,611.2,1069
31-Jul-15,1250,849.8
1-Aug-15,455.8,964.1
2-Aug-15,546.5,764.1
3-Aug-15,421.8,1242.4
4-Aug-15,730.9,na
5-Aug-15,490.5,959.8
6-Aug-15,310.4,1057.1
7-Aug-15,711.3,1006.7
8-Aug-15,402.8,809.5
9-Aug-15,836,992.6
10-Aug-15,250.4,1247.7
11-Aug-15,405.3,1061.4
12-Aug-15,1001.9,909.9
13-Aug-15,424.4,3923.1
14-Aug-15,503,609.1
15-Aug-15,364.3,445.3
16-Aug-15,511.7,766
17-Aug-15,1543.4,1684
18-Aug-15,379,1174.8
19-Aug-15,1201.9,624.1
20-Aug-15,521.3,1060.3
21-Aug-15,1478.7,540
22-Aug-15,885.2,482.2
23-Aug-15,1268.2,470.3
24-Aug-15,2650.2,na
25-Aug-15,1502.9,687.6
26-Aug-15,794.4,882.7
27-Aug-15,999.5,801.7
28-Aug-15,1185.6,1114.8
29-Aug-15,1928.4,1484.7
30-Aug-15,1378.8,2255.9
31-Aug-15,1287.6,2110.7
1-Jan-16,338.9,670.3
2-Jan-16,298.7,991.1
3-Jan-16,1067.2,883.8
4-Jan-16,556.3,1340.9
5-Jan-16,860.9,1247.3
6-Jan-16,780,1139.9
7-Jan-16,1097.9,987.8
8-Jan-16,540.4,1155.7
9-Jan-16,820.1,1427
10-Jan-16,508.9,1921.5
11-Jan-16,972.3,1761.8
12-Jan-16,330.9,1675
13-Jan-16,826.5,2845
14-Jan-16,465,719.4
15-Jan-16,na,712
16-Jan-16,753.6,732
17-Jan-16,1249.1,683.8
18-Jan-16,654.5,951.7
19-Jan-16,478.4,1506.8
20-Jan-16,619.2,1346.6
21-Jan-16,1447.9,2155.4
22-Jan-16,337.9,1305.5
23-Jan-16,1085.5,1494.6
24-Jan-16,844.6,699.7
25-Jan-16,1070,887
26-Jan-16,391,1010.9
27-Jan-16,997.9,585.3
28-Jan-16,516.9,532.1
29-Jan-16,698.1,776.5
30-Jan-16,1972.7,1925.3
31-Jan-16,860.9,988.4
1-Feb-16,942.6,1568.2
2-Feb-16,990.6,1491.3
3-Feb-16,1158.9,1929.7
4-Feb-16,1199.1,1876
5-Feb-16,1289.1,2373.9
6-Feb-16,1379.5,545.8
7-Feb-16,1465,1295.8
8-Feb-16,1825.6,1659.9
9-Feb-16,1113.6,2762.8
10-Feb-16,1109.3,2058.6
11-Feb-16,2653.5,2462.2
12-Feb-16,1122,1778.3
13-Feb-16,594.1,2588.4
14-Feb-16,250.9,857
15-Feb-16,215.9,1532.8
16-Feb-16,1651.6,2113.7
17-Feb-16,251.3,2273.9
18-Feb-16,1880.1,951.3
19-Feb-16,1006,1472.2
21-Feb-16,2296.2,158.6
22-Feb-16,458.5,1455.9
23-Feb-16,1734.5,1393.7
24-Feb-16,2618.6,1310
25-Feb-16,1541.4,1149.8
26-Feb-16,na,1068.8
27-Feb-16,na,724.7
28-Feb-16,na,285.5
29-Feb-16,715.6,732
1-Mar-16,1291.7,1724
2-Mar-16,1570.7,466.4
3-Mar-16,2200.3,870.1
4-Mar-16,959.2,1016.5
5-Mar-16,2148.5,468.5
6-Mar-16,1509.9,1413
7-Mar-16,2637.5,1181
8-Mar-16,1396.2,462.5
9-Mar-16,1219,626.7
10-Mar-16,1377.5,1319.5
11-Mar-16,1788.2,850.1
12-Mar-16,995.2,433.7
13-Mar-16,807.7,1358.4
14-Mar-16,992.6,822.7
15-Mar-16,626.1,1296.1
16-Mar-16,1399.8,1541.8
17-Mar-16,1251.3,1645.6
18-Mar-16,996.1,1300.7
19-Mar-16,1503.3,1508.5
21-Mar-16,2382,1190.8
22-Mar-16,2140,506.4
23-Mar-16,1701.4,1962.4
24-Mar-16,1230.4,890.8
25-Mar-16,na,1446.1
26-Mar-16,na,1682.2
27-Mar-16,na,776.6
28-Mar-16,726.5,841.2
29-Mar-16,808,916.8
30-Mar-16,274.3,813.3
31-Mar-16,992.2,632.9
31-Mar-16,772.9,1024.1
1-Apr-16,847.6,901.6
2-Apr-16,530.1,946.3
3-Apr-16,409.7,814.2
4-Apr-16,266.1,0
5-Apr-16,498.5,708.4
6-Apr-16,1147.6,401.4
7-Apr-16,906.2,na
8-Apr-16,2014.4,na
10-Apr-16,918.8,na
10-Apr-16,3294.1,na
11-Apr-16,1387.3,na
12-Apr-16,879.7,na
13-Apr-16,1230.5,na
14-Apr-16,1817,na
15-Apr-16,2272.7,na
17-Apr-16,1491.3,na
18-Apr-16,1794.4,na
19-Apr-16,1775.3,na
20-Apr-16,1828.7,na
21-Apr-16,947.3,na
22-Apr-16,1298.5,na
23-Apr-16,1346,na
24-Apr-16,1770.4,na
25-Apr-16,1584.3,na
26-Apr-16,1339.5,na
27-Apr-16,1097,na
28-Apr-16,1276.8,na
29-Apr-16,1815.9,na
30-Apr-16,1512.8,na
1-May-16,1041.7,na
2-May-16,1160.9,na
3-May-16,1245.5,na
4-May-16,501.1,na
5-May-16,826.4,na
6-May-16,788.4,na
7-May-16,1794.5,na
8-May-16,1603.4,na
