ID,date,est,cort,pro
s,4/28/2015,902.5098039,600.7529412,191.1529412
s,5/1/2015,301.2451362,278.5680934,98.89494163
s,5/2/2015,777.8269618,285.1267606,149.722334
s,5/3/2015,1382.887189,380.0764818,147.8546845
s,5/4/2015,705.2123552,357.7992278,121.3436293
s,5/5/2015,2502.037422,408.6237006,224.008316
s,5/6/2015,801.7319588,383.3072165,110.1525773
s,5/7/2015,682.0428016,322.7159533,118.2256809
s,5/8/2015,705.1234568,444.8148148,205.4074074
s,5/9/2015,1329.403579,700.3658052,226.9502982
s,5/10/2015,338.1538462,312.7384615,141.2307692
s,5/11/2015,567.8571429,425.9510204,172.1387755
s,5/12/2015,1793.945841,787.0096712,269.6866538
s,5/14/2015,2729.263566,421.3953488,180.9767442
s,5/15/2015,788.7739464,528,211.1724138
s,5/16/2015,1410.098619,561.3964497,211.3846154
s,5/17/2015,1096.73428,424.7951318,140.4219067
s,5/18/2015,1109.653846,344.6769231,165.4615385
s,5/19/2015,916.7916667,543.95,140.25
s,5/20/2015,692.1289063,471,144
s,5/21/2015,457.8019802,270.5584158,123.8970297
s,5/22/2015,786.996124,268.4418605,174.8372093
s,5/23/2015,608.5546875,462.8203125,241.9453125
s,5/24/2015,882.4361493,591.3713163,245.3516699
s,5/25/2015,694.7524752,679.1762376,213.6475248
s,5/26/2015,667.4549098,304.4008016,216.9378758
s,5/27/2015,404.6978558,401.6842105,104.7017544
s,5/28/2015,343.44294,274.1663443,117.6092843
s,5/29/2015,1421.507937,687.4761905,292.0714286
s,5/30/2015,1054.826884,329.3279022,177.2138493
s,5/31/2015,1024.192308,418.2461538,185.9538462
s,6/1/2015,235.523614,179.6550308,124.1889117
s,6/3/2015,2446.970297,567.2316832,268.5386139
s,6/4/2015,1179.580838,515.1616766,180.7185629
s,6/5/2015,547.3577236,329.8292683,
s,6/6/2015,446.6797642,280.4086444,116.8408644
s,6/7/2015,1797.321773,718.982659,214.5433526
s,6/8/2015,1459.596929,665.3205374,212.890595
s,6/9/2015,1023.384913,578.8549323,241.6943907
s,6/10/2015,1251.99211,437.7514793,254.1301775
s,6/11/2015,821.5039063,614.296875,154.546875
s,6/12/2015,849.6296296,787.9259259,251.1111111
s,6/13/2015,1214.98,762.336,285.12
s,6/14/2015,667.6861167,739.0020121,137.0462777
s,6/15/2015,1202.669246,1106.390716,246.7079304
s,6/16/2015,319.0778689,983.6557377,165.7622951
s,6/17/2015,566.199187,833.8780488,200.3414634
s,6/18/2015,723.7186898,656.2312139,144.4855491
s,6/19/2015,434.612326,643.2286282,152.5884692
s,6/21/2015,737.8156313,558.4208417,172.0641283
s,6/21/2015,555.6969697,504.969697,193.3818182
s,6/22/2015,1101.431452,662.1774194,174.0483871
s,6/23/2015,556.008316,440.6320166,144.8981289
s,6/24/2015,617.5208333,632.625,.
