ct,date,ID,prog,est,cort
97,4/8/2015,p,448.8798371,937.3767821,967.0386965
98,4/9/2015,p,393.8028169,437.6579477,825.7303823
99,4/10/2015,p,428.7142857,440.6111111,660.3095238
100,4/11/2015,p,311.1023622,220.2125984,538.8897638
101,4/12/2015,p,368.5889571,438.2985685,653.2515337
102,4/13/2015,p,457.2580645,487.3387097,960.9193548
103,4/15/2015,p,345.5444015,262.03861,706.8185328
104,4/17/2015,p,450.7569721,391.561753,629.0438247
105,4/18/2015,p,407.0259481,805.245509,1047.305389
106,4/19/2015,p,405.8436214,540.8230453,969.3333333
107,4/20/2015,p,295.5400411,268.2053388,760.4106776
108,4/21/2015,p,297.3809524,224.3571429,481.0238095
109,4/22/2015,p,388.2851638,588.2157996,779.8612717
110,4/23/2015,p,428.9430894,818.6178862,911.3414634
111,4/24/2015,p,263.1578947,208.3040936,487.7192982
112,4/25/2015,p,380.1165049,585.8485437,740.807767
113,4/26/2015,p,407.0020121,702.2535211,667.9678068
114,4/27/2015,p,331.372549,248.1882353,554.0705882
115,4/28/2015,p,486,471.3765182,884.8906883
116,5/1/2015,p,357.7952756,368.1574803,721.7952756
117,5/2/2015,p,532.2645291,1442.452906,1091.735471
118,5/3/2015,p,337.2533849,545.377176,863.1876209
119,5/4/2015,p,332.71875,302.78125,1284.210938
120,5/5/2015,p,344.2774566,281.0250482,1140.693642
121,5/6/2015,p,516.6462168,930.1022495,636.0981595
122,5/7/2015,p,733.9837398,1740.430894,1002.317073
123,5/8/2015,p,442.2035928,516.2315369,951.0179641
124,5/9/2015,p,481.5503876,892.3178295,866.5348837
125,5/10/2015,p,457.0967742,531.25,993.7741935
126,5/11/2015,p,502.5396825,484.9920635,1246.714286
127,5/12/2015,p,351.3154639,196.1731959,1218.061856
128,5/14/2015,p,405.1097804,438.6906188,864.6227545
129,5/15/2015,p,450.6288032,680.3326572,955.9837728
130,5/16/2015,p,375.4601227,323.2638037,892.4171779
131,5/17/2015,p,377.578125,300.0703125,951.2109375
132,5/18/2015,p,337.2639692,363.1445087,1522.196532
133,5/19/2015,p,428.5265226,505.8939096,1210.32613
134,5/20/2015,p,450.867052,153.7649326,1095.375723
135,5/21/2015,p,376.1893491,375.581854,889.6804734
136,5/22/2015,p,486.3492063,829.8412698,1208.142857
137,5/23/2015,p,563.3802817,1099.726358,731.8551308
138,5/24/2015,p,na,1046.928571,1577.380952
139,5/25/2015,p,361.8800774,345.0135397,1969.555126
140,5/26/2015,p,356.039604,448.950495,738.9386139
141,5/27/2015,p,na,1756.54321,1948.469136
142,5/28/2015,p,na,375.1673152,1277.649805
143,5/29/2015,p,na,510.6885246,937.6229508
144,5/30/2015,p,na,674.2367347,603.844898
145,5/31/2015,p,na,513.4140625,730.7578125
146,6/1/2015,p,na,844.876494,499.9840637
147,6/3/2015,p,na,446.8196721,685.647541
148,6/4/2015,p,na,607.8962076,1274.419162
149,6/5/2015,p,na,263.4567901,760.7160494
150,6/6/2015,p,na,426.3673469,1057.15102
151,6/7/2015,p,na,379.81893,920.7407407
152,6/8/2015,p,324.2519685,440.2755906,946.3228346
153,6/9/2015,p,462.1705426,401.5503876,433.4186047
154,6/10/2015,p,413.8888889,415.031746,726.6428571
155,6/11/2015,p,303.8845361,424.1484536,764.1154639
156,6/12/2015,p,336.627451,242.9019608,596.7058824
157,6/13/2015,p,418.6773547,665.9639279,852.6973948
158,6/14/2015,p,389.1485149,1322.811881,644.150495
159,6/15/2015,p,397.2705882,540.745098,719.5058824
160,6/16/2015,p,341.8181818,636.630303,841.7212121
161,6/17/2015,p,443.8554217,423.0361446,640.4819277
162,6/18/2015,p,471.5831663,816.6412826,822.0601202
163,6/19/2015,p,.,373.6895874,940.4557957
164,6/20/2015,p,474.496124,1007.062016,986.5813953
165,6/21/2015,p,713.0864198,3377.769547,727.654321
166,6/21/2015,p,318.2945736,827.4806202,529.9069767
167,6/22/2015,p,320.2440945,439.6220472,973.2519685
168,6/23/2015,p,354.8818898,507.8110236,1843.370079
169,6/24/2015,p,344.526749,892.6584362,1933.530864
170,6/25/2015,p,330.9836066,683.5,943.4754098
171,6/26/2015,p,437.195122,1566.195122,2103.731707
172,6/27/2015,p,310.6299213,396.4330709,1021.795276
173,6/28/2015,p,454.459725,1356.605108,1505.163065
174,6/29/2015,p,497.28,2492.728,1371.144
175,4/3/2015,s,305.352,691.74,682.296
176,4/4/2015,s,201.0186335,1805.942029,283.5279503
177,4/5/2015,s,159.011583,504.0733591,158.4324324
178,4/6/2015,s,209.9758065,786.2298387,344.3951613
179,4/7/2015,s,201.1133201,1270.497018,461.6540755
180,4/8/2015,s,202.795082,663.2377049,429.4180328
181,4/9/2015,s,158.904,2067.84,300.696
182,4/10/2015,s,163.8764479,651.1003861,380.5019305
183,4/11/2015,s,129.5130785,402.6760563,236.3299799
184,4/12/2015,s,100.2222222,688.2716049,153.8518519
185,4/13/2015,s,106.5461538,820.5384615,295.5
186,4/14/2015,s,151.5435685,986.9917012,304.1825726
187,4/15/2015,s,126.4864865,801.3899614,525.1969112
188,4/17/2015,s,107.503937,1170.629921,302.9291339
189,4/18/2015,s,98.90835031,772.2199593,565.0753564
190,4/19/2015,s,110.3431953,515.5226824,362.9585799
191,4/20/2015,s,265.8461538,1294.043393,578.6035503
192,4/21/2015,s,164.1481481,2774.958848,624.691358
193,4/22/2015,s,125.9642147,1388.011928,346.0675944
194,4/23/2015,s,147.3061224,1418.77551,470.2040816
195,4/24/2015,s,147.2217899,1116.55642,429.5719844
196,4/25/2015,s,159.9378641,1712.23301,653.0097087
197,4/26/2015,s,190.6875,504.0429688,411.421875
198,4/27/2015,s,123.6739563,1018.548708,202.9502982
199,4/28/2015,s,191.1529412,902.5098039,600.7529412
200,5/1/2015,s,98.89494163,301.2451362,278.5680934
201,5/2/2015,s,149.722334,777.8269618,285.1267606
202,5/3/2015,s,147.8546845,1382.887189,380.0764818
203,5/4/2015,s,121.3436293,705.2123552,357.7992278
204,5/5/2015,s,224.008316,2502.037422,408.6237006
205,5/6/2015,s,110.1525773,801.7319588,383.3072165
206,5/7/2015,s,118.2256809,682.0428016,322.7159533
207,5/8/2015,s,205.4074074,705.1234568,444.8148148
208,5/9/2015,s,226.9502982,1329.403579,700.3658052
209,5/10/2015,s,141.2307692,338.1538462,312.7384615
210,5/11/2015,s,172.1387755,567.8571429,425.9510204
211,5/12/2015,s,269.6866538,1793.945841,787.0096712
212,5/14/2015,s,180.9767442,2729.263566,421.3953488
213,5/15/2015,s,211.1724138,788.7739464,528
214,5/16/2015,s,211.3846154,1410.098619,561.3964497
215,5/17/2015,s,140.4219067,1096.73428,424.7951318
216,5/18/2015,s,165.4615385,1109.653846,344.6769231
217,5/19/2015,s,140.25,916.7916667,543.95
218,5/20/2015,s,144,692.1289063,471
219,5/21/2015,s,123.8970297,457.8019802,270.5584158
220,5/22/2015,s,174.8372093,786.996124,268.4418605
221,5/23/2015,s,241.9453125,608.5546875,462.8203125
222,5/24/2015,s,245.3516699,882.4361493,591.3713163
223,5/25/2015,s,213.6475248,694.7524752,679.1762376
224,5/26/2015,s,216.9378758,667.4549098,304.4008016
225,5/27/2015,s,104.7017544,404.6978558,401.6842105
226,5/28/2015,s,117.6092843,343.44294,274.1663443
227,5/29/2015,s,292.0714286,1421.507937,687.4761905
228,5/30/2015,s,177.2138493,1054.826884,329.3279022
229,5/31/2015,s,185.9538462,1024.192308,418.2461538
230,6/1/2015,s,124.1889117,235.523614,179.6550308
231,6/3/2015,s,268.5386139,2446.970297,567.2316832
232,6/4/2015,s,180.7185629,1179.580838,515.1616766
233,6/5/2015,s,.,547.3577236,329.8292683
234,6/6/2015,s,116.8408644,446.6797642,280.4086444
235,6/7/2015,s,214.5433526,1797.321773,718.982659
236,6/8/2015,s,212.890595,1459.596929,665.3205374
237,6/9/2015,s,241.6943907,1023.384913,578.8549323
238,6/10/2015,s,254.1301775,1251.99211,437.7514793
239,6/11/2015,s,154.546875,821.5039063,614.296875
240,6/12/2015,s,251.1111111,849.6296296,787.9259259
241,6/13/2015,s,285.12,1214.98,762.336
242,6/14/2015,s,137.0462777,667.6861167,739.0020121
243,6/15/2015,s,246.7079304,1202.669246,1106.390716
244,6/16/2015,s,165.7622951,319.0778689,983.6557377
245,6/17/2015,s,200.3414634,566.199187,833.8780488
246,6/18/2015,s,144.4855491,723.7186898,656.2312139
247,6/19/2015,s,152.5884692,434.612326,643.2286282
248,6/21/2015,s,172.0641283,737.8156313,558.4208417
249,6/21/2015,s,193.3818182,555.6969697,504.969697
250,6/22/2015,s,174.0483871,1101.431452,662.1774194
251,6/23/2015,s,144.8981289,556.008316,440.6320166
252,6/24/2015,s,.,617.5208333,632.625
253,6/25/2015,s,.,837.7058824,365.5764706
254,6/25/2015,s,163.1578947,816.1598441,240.5380117
255,6/26/2015,s,.,746.0122699,442.6257669
256,6/27/2015,s,.,573.9183673,141.3795918
257,6/28/2015,s,254.3510204,963.4897959,598.8
258,6/29/2015,s,176.6627219,962.504931,410.0828402
259,6/30/2015,s,105.4785992,384.4747082,240.4435798
260,7/1/2015,s,110.2282398,882.4758221,310.2823985
261,7/2/2015,s,116.9307692,352.1153846,285.2307692
262,7/4/2015,s,134.0363636,424.4848485,286.1090909
263,7/5/2015,s,116.3346304,482.8988327,258.6536965
264,7/6/2015,s,105.696,413.68,273.6
265,7/7/2015,s,222.7588933,690.5335968,421.1620553
266,7/8/2015,s,111.3609959,593.6307054,413.9253112
267,7/9/2015,s,335.55,1255.125,374.525
268,7/10/2015,s,160.6259542,910.3244275,492.5954198
269,7/11/2015,s,310.9727626,2502.529183,1059.945525
270,7/12/2015,s,198.8704062,1121.141199,523.8452611
271,7/13/2015,s,206.5846154,1100.75,459.9230769
272,7/13/2015,s,141.0871369,776.6804979,397.0207469
273,7/14/2015,s,118.4538462,804.6346154,506.6538462
274,7/15/2015,s,145.2264529,1068.436874,390.3246493
275,7/16/2015,s,230.9182879,1863.463035,668.2412451
276,7/17/2015,s,125.8210736,846.4413519,432.8588469
277,7/18/2015,s,74.75206612,761.1570248,496.0909091
278,7/19/2015,s,195.8951613,891.1491935,604.3064516
279,7/20/2015,s,101.5714286,375.8531746,373.6190476
280,7/21/2015,s,127.0120482,472.248996,446.313253
281,7/22/2015,s,187.1294118,818.254902,619.4352941
282,7/23/2015,s,94.87140115,412.5527831,225.9040307
283,7/24/2015,s,194.3553719,1149.772727,536.107438
284,7/25/2015,s,195.142268,824.185567,467.4309278
285,7/26/2015,s,66.1754386,344.0740741,122.9005848
286,7/27/2015,s,127.3846154,625.9038462,310.5
287,7/28/2015,s,86.99396378,350.6639839,77.0945674
288,7/29/2015,s,192.1395349,841.8410853,249.9534884
289,7/30/2015,s,125.044898,611.1632653,851.3877551
290,7/31/2015,s,158.3294118,1250.039216,456.8705882
291,8/1/2015,s,132.8538462,455.8269231,273.7153846
292,8/2/2015,s,151.6167665,546.506986,240.6706587
293,8/3/2015,s,125.6792079,421.8019802,172.8712871
294,8/4/2015,s,182.9461078,730.8582834,370.7305389
295,8/5/2015,s,113.8760331,490.4958678,288.446281
296,8/6/2015,s,90.86055777,310.3784861,155.0438247
297,8/7/2015,s,174.6036961,711.2936345,341.8644764
298,8/8/2015,s,74.28461538,402.7692308,361.2923077
299,8/9/2015,s,160.3180915,836.0437376,529.2405567
300,8/10/2015,s,.,250.42,126.624
301,8/11/2015,s,90,405.2788845,148.876494
302,8/12/2015,s,191.448,1001.9,628.704
303,8/13/2015,s,61.35892514,424.3570058,409.8426104
304,8/14/2015,s,166.0527383,502.9614604,498.4989858
305,8/15/2015,s,119.666004,364.2743539,422.1232604
306,8/16/2015,s,145.7821782,511.6633663,657.5762376
307,8/17/2015,s,183.3230769,1543.423077,494.7230769
308,8/18/2015,s,152.2600382,378.9866157,404.2370937
309,8/19/2015,s,178.0790514,1201.936759,756.56917
310,8/20/2015,s,116.4790419,521.257485,473.4850299
311,8/21/2015,s,190.7368421,1478.732943,540.7017544
312,8/22/2015,s,86.01956947,885.2446184,272.853229
313,8/23/2015,s,159.7142857,1268.154762,411.7380952
314,8/24/2015,s,191.5688623,2650.159681,1641.005988
315,8/25/2015,s,144.6441352,1502.922465,525.6858847
316,8/26/2015,s,145.6465696,794.3866944,453.3804574
317,8/27/2015,s,106.7142857,999.5238095,376.7857143
318,8/28/2015,s,165.0661323,1185.571142,374.2364729
319,8/29/2015,s,209.4035088,1928.401559,451.7426901
320,8/30/2015,s,.,1378.8,225.696
321,8/31/2015,s,.,1287.582645,161.9752066
322,1/1/2016,s,177.8698225,338.9349112,349.0729783
323,1/2/2016,s,175.943662,298.6720322,108.5311871
324,1/3/2016,s,304.0727273,1067.232323,648.0969697
325,1/4/2016,s,225.686747,556.3052209,423.9116466
326,1/5/2016,s,328.1102362,860.9448819,653.1023622
327,1/6/2016,s,283.7227723,780,429.9881188
328,1/7/2016,s,404.4748491,1097.947686,445.8832998
329,1/8/2016,s,238.902439,540.4268293,335.3495935
330,1/9/2016,s,293.9178082,820.0978474,563.334638
331,1/10/2016,s,202.392,508.88,256.664
332,1/11/2016,s,292.608,972.34,325.536
333,1/12/2016,s,90.14423077,330.9134615,170.4326923
334,1/13/2016,s,225.675,826.4583333,309.875
335,1/14/2016,s,157.7964072,464.99002,329.0938124
336,1/16/2016,s,318.1935484,753.6491935,612.9112903
337,1/17/2016,s,319.6948454,1249.072165,1017.05567
338,1/18/2016,s,307.5923077,654.4615385,791.7923077
339,1/19/2016,s,226.25,478.4027778,320.8333333
340,1/20/2016,s,281.9076923,619.1923077,401.8615385
341,1/21/2016,s,563.5247525,1447.90099,883.009901
342,1/22/2016,s,176.9538462,337.9038462,300.9692308
343,1/23/2016,s,112.6545455,1085.474747,569.2363636
344,1/24/2016,s,329.6205534,844.6245059,431.4940711
345,1/25/2016,s,311.9524752,1070.019802,502.7485149
346,1/26/2016,s,195.2601156,390.982659,252.539499
347,1/27/2016,s,261.7651822,997.9352227,459.0769231
348,1/28/2016,s,199.3188119,516.9306931,347.4772277
349,1/29/2016,s,365.100616,698.0903491,354.5462012
350,1/30/2016,s,333.984375,1972.695313,676.609375
351,1/31/2016,s,233.6792079,860.8514851,381.5445545
352,2/1/2016,s,140.7461538,942.6153846,329.1230769
353,2/2/2016,s,323.475,990.5625,404.0583333
354,2/3/2016,s,273.9352227,1158.906883,310.2753036
355,2/4/2016,s,239.5648855,1199.141221,295.259542
356,2/5/2016,s,278.5411765,1289.098039,429.2627451
357,2/6/2016,s,271.7178423,1379.502075,311.1120332
358,2/7/2016,s,305.245509,1464.9501,316.0798403
359,2/8/2016,s,352.35,1825.645833,390.6666667
360,2/9/2016,s,268.0248447,1113.561077,543.5279503
361,2/10/2016,s,297.1417323,1109.311024,352.2519685
362,2/11/2016,s,454.6909091,2653.454545,432.5818182
363,2/12/2016,s,275.7894737,1122.02729,256.0779727
364,2/13/2016,s,156.456,594.1,149.296
365,2/14/2016,s,91.2,250.8571429,84.60408163
366,2/15/2016,s,77.664,215.86,152.776
367,2/16/2016,s,270.2125984,1651.633858,316.4251969
368,2/17/2016,s,100.5659656,251.3193117,103.2887189
369,2/18/2016,s,277.6296296,1880.082305,348.526749
370,2/19/2016,s,244.7265306,1006.020408,258.4081633
371,2/21/2016,s,468.8744939,2296.214575,826.097166
372,2/22/2016,s,145.5826772,458.484252,140.4173228
373,2/23/2016,s,324.9581749,1734.543726,341.9163498
374,2/24/2016,s,371.1891892,2618.590734,616.2857143
375,2/25/2016,s,352.621118,1541.428571,510.9565217
376,2/29/2016,s,321.4285714,715.5918367,380.0571429
377,3/1/2016,s,399.2129817,1291.703854,435.148073
378,3/2/2016,s,499.6235294,1570.745098,408.4156863
379,3/3/2016,s,469.2730845,2200.314342,442.2789784
380,3/4/2016,s,306.5853659,959.2479675,297.6585366
381,3/5/2016,s,482.3420523,2148.511066,430.0523139
382,3/6/2016,s,428.8383234,1509.94012,369.7884232
383,3/7/2016,s,430.2403259,2637.474542,620.2851324
384,3/8/2016,s,421.2,1396.22,332.528
385,3/9/2016,s,347.4037267,1218.985507,444.9358178
386,3/10/2016,s,381.655706,1377.524178,371.9458414
387,3/11/2016,s,399.9432049,1788.235294,300.811359
388,3/12/2016,s,372.2371542,995.1976285,321.1857708
389,3/13/2016,s,265.4912621,807.6893204,322.9980583
390,3/14/2016,s,317.915493,992.555332,364.2736419
391,3/15/2016,s,208.9721116,626.0956175,236.4780876
392,3/16/2016,s,379.016129,1399.83871,362.4274194
393,3/17/2016,s,412.5,1251.309524,517.015873
394,3/18/2016,s,346.8837209,996.1046512,267.8914729
395,3/19/2016,s,411.6705882,1503.333333,444.4862745
396,3/21/2016,s,491.9527559,2382.007874,562.5748031
397,3/22/2016,s,501.3831041,2140.019646,545.1709234
398,3/23/2016,s,447.2816327,1701.44898,382.0163265
399,3/24/2016,s,340.0570265,1230.407332,342.2892057
400,3/28/2016,s,255.2392638,726.5439673,165.2377049
401,3/29/2016,s,294.9486653,807.9876797,179.6790123
402,3/30/2016,s,138,274.25,50.17142857
403,3/31/2016,s,240.3442623,992.2336066,252.675835
404,3/31/2016,s,281.7037037,772.9423868,238.2798354
405,4/1/2016,s,265.9591837,847.6122449,239
406,4/2/2016,s,205.2495088,530.1178782,141.2796781
407,4/3/2016,s,185.9016393,409.6721311,77.18834951
408,4/4/2016,s,101.372093,266.1046512,73.28063241
409,4/5/2016,s,216.6519115,498.5110664,182.9105058
410,4/6/2016,s,255.7048544,1147.631068,272.2174757
411,4/7/2016,s,255.5573123,906.1660079,281.6284585
412,4/8/2016,s,339.3385214,2014.357977,431.0194553
413,4/10/2016,s,290.325,918.75,272.925
414,4/10/2016,s,291.234375,3294.101563,529.9921875
415,4/11/2016,s,365.8040816,1387.346939,331.877551
