ct,U of A Sample ID,Sample Date,Sex,,%Binding,P4 (pg/well),Dilution,CF,P4 (pg/g feces),P4 (ng/g feces),Assay Date,%Binding,E2 (pg/well),Dilution,CF,E2 (pg/g feces),E2 (ng/g feces),Assay Date,%Binding,Cortisol (pg/well),Dilution,CF,Cort (pg/g feces),Cort (ng/g feces),Assay Date
29,1219,9/14/17,Female,,47.961,5.48,180,20,381586.0735,381.5860735,8/6/2020,34.336,62.981,20,50,1218201.161,1218.201161,08/06/20,40.058,22.536,60,20,0.022199289,0.000,8/6/2020
30,1219,12/3/17,Female,,70.074,1.834,180,20,128701.7544,128.7017544,8/11/2020,56.996,17.83,20,50,347563.3528,347.5633528,08/06/20,34.479,29.501,60,20,0.101855388,0.000,8/6/2020
31,1220,3/2/18,Female,,48.684,5.328,180,20,372442.7184,372.4427184,8/6/2020,25.847,116.205,20,50,2256407.767,2256.407767,08/06/20,31.447,34.412,60,20,0.018300947,0.000,8/6/2020
32,1220,3/2/18,Female,,41.836,6.637,180,20,491629.6296,491.6296296,8/6/2020,35.018,60.515,20,50,1245164.609,1245.164609,08/06/20,39.234,20.348,180,20,0.058829812,0.000,8/11/2020
33,1220,4/20/18,Female,,46.935,4.031,180,20,294352.9412,294.3529412,8/11/2020,40.866,42.798,20,50,868113.5903,868.1135903,08/06/20,24.81,40.695,60,20,0.056253007,0.000,8/14/2020
34,1220,5/17/18,Female,,20.963,14.697,180,20,1023388.781,1023.388781,8/6/2020,39.587,53.202,20,50,1029052.224,1029.052224,08/06/20,40.497,24.42,60,20,0.028476689,0.000,8/3/2020
35,1220,6/18/19,Female,,78.366,2.62,1800,20,1882634.731,1882.634731,8/14/2020,76.116,7.213,180,50,1295748.503,1295.748503,08/14/20,20.626,72.669,60,20,0.067299171,0.000,8/3/2020
36,1220,6/18/19,Female,,63.128,4.714,1800,20,3269826.59,3269.82659,8/14/2020,71.435,8.77,180,50,1520809.249,1520.809249,08/14/20,35.03,28.654,60,20,0.022609542,0.000,8/11/2020
37,1220,7/10/19,Female,,75.405,2.899,1800,20,2026485.437,2026.485437,8/14/2020,21.553,110.794,20,50,2151339.806,2151.339806,08/11/20,25.848,51.702,60,20,0.028838959,0.000,8/3/2020
38,1225,5/16/18,Female,,75.325,2.103,180,20,155457.9055,155.4579055,8/6/2020,75.573,5.876,20,50,120657.0842,120.6570842,08/11/20,54.489,11.817,60,20,0.11752646,0.000,8/6/2020
39,1225,6/18/18,Female,,59.139,5.573,600,20,1345593.561,1345.593561,8/26/2020,66.754,11.777,180,50,2132655.936,2132.655936,08/14/20,67.203,5.239,600,20,0.029478735,0.000,8/11/2020
40,1225,5/22/19,Female,,47.396,3.969,1800,20,2927950.82,2927.95082,8/14/2020,29.476,60.96,20,50,1249180.328,1249.180328,08/11/20,28.096,41.247,60,20,0.039623102,0.000,8/6/2020
41,1225,5/22/19,Female,,47.025,4.015,1800,20,2914112.903,2914.112903,8/14/2020,24.132,89.56,20,50,1805645.161,1805.645161,08/11/20,39.358,23.318,60,20,0.015496732,0.000,8/6/2020
42,1225,6/18/19,Female,,21.226,10.624,180,20,745543.8596,745.5438596,8/14/2020,33.22,48.256,20,50,940662.768,940.662768,08/11/20,39.358,23.318,60,20,0.029746686,0.000,8/6/2020
43,1225,6/18/19,Female,,26.831,8.245,180,20,612000,612,8/14/2020,42.383,29.096,20,50,599917.5258,599.9175258,08/11/20,50.703,13.981,60,20,0.027965844,0.000,8/6/2020
44,1226,5/29/18,Female,,77.556,3.142,1800,20,2294361.055,2294.361055,8/26/2020,20.897,117.27,20,50,2378701.826,2378.701826,08/11/20,27.015,43.819,60,20,0.022105671,0.000,8/6/2020
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,5069,3/20/19,,,,,,,,,,,,,,,,,,,,,,,
,5069,4/19/19,,,,,,,,,,,,,,,,,,,,,,,
,5075,3/9/19,,,,,,,,,,,,,,,,,,,,,,,
,5076,4/18/19,,,,,,,,,,,,,,,,,,,,,,,
,5077,4/18/19,,,,,,,,,,,,,,,,,,,,,,,
,5092,7/30/19,,,,,,,,,,,,,,,,,,,,,,,
,5100,6/8/19,,,,,,,,,,,,,,,,,,,,,,,
,5107,8/7/19,,,,,,,,,,,,,,,,,,,,,,,
,5110,8/12/19,,,,,,,,,,,,,,,,,,,,,,,
