Animal_ID,Count,Sex,CaptureDate,Time,Age,Repro,Mass,TestisLength,Handler,Season,Location,prog.10,est.10,cort.10,Test.10,Notes
s,,F,4/23/2015,,A,,225.1,,,Spring,Zoo,14.73061224,141.877551,47.02040816,na,
m,,F,4/24/2015,,A,,224,,,Spring,Zoo,28.8675,87.65,66.1925,na,
p,,F,4/24/2015,,A,,228.3,,,Spring,Zoo,26.31578947,20.83040936,48.77192982,na,
s,,F,4/24/2015,,A,,225.1,,,Spring,Zoo,14.72217899,111.655642,42.95719844,na,
m,,F,4/25/2015,,A,,224,,,Spring,Zoo,21.4488,130.008,40.7256,na,
p,,F,4/25/2015,,A,,228.3,,,Spring,Zoo,38.01165049,58.58485437,74.0807767,na,
s,,F,4/25/2015,,A,,225.1,,,Spring,Zoo,15.99378641,171.223301,65.30097087,na,
m,,F,4/26/2015,,A,,224,,,Spring,Zoo,25.33517787,76.61857708,40.05296443,na,
p,,F,4/26/2015,,A,,228.3,,,Spring,Zoo,40.70020121,70.22535211,66.79678068,na,
s,,F,4/26/2015,,A,,225.1,,,Spring,Zoo,19.06875,50.40429688,41.1421875,na,
m,,F,4/27/2015,,A,,224,,,Spring,Zoo,18.86970297,73.40792079,39.31485149,na,
p,,F,4/27/2015,,A,,228.3,,,Spring,Zoo,33.1372549,24.81882353,55.40705882,na,
s,,F,4/27/2015,,A,,225.1,,,Spring,Zoo,12.36739563,101.8548708,20.29502982,na,
m,,F,4/28/2015,,A,,224,,,Spring,Zoo,25.22926829,53.53658537,54.03658537,na,
p,,F,4/28/2015,,A,,228.3,,,Spring,Zoo,48.6,47.13765182,88.48906883,na,
s,,F,4/28/2015,,A,,225.1,,,Spring,Zoo,19.11529412,90.25098039,60.07529412,na,
m,,F,5/1/2015,,A,,224,,,Spring,Zoo,22.81878669,123.7651663,40.54637965,na,
p,,F,5/1/2015,,A,,228.3,,,Spring,Zoo,35.77952756,36.81574803,72.17952756,na,
s,,F,5/1/2015,,A,,225.1,,,Spring,Zoo,9.889494163,30.12451362,27.85680934,na,
m,,F,5/2/2015,,A,,224,,,Spring,Zoo,26.27704918,84.76844262,59.36803279,na,
p,,F,5/2/2015,,A,,228.3,,,Spring,Zoo,53.22645291,144.2452906,109.1735471,na,
s,,F,5/2/2015,,A,,225.1,,,Spring,Zoo,14.9722334,77.78269618,28.51267606,na,
