ct,ID-MGRS,date,prog/10,est/10,cort/10,,,,,,,,,,,,,,,,,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
31,1220,3/2/2018,37.24427184,225.6407767,80.183,,,,,,,,,,,,,,,,,,31,s,5/6/2015,110.1525773,801.7319588,383.3072165,,31,m,5/6/2015,237.3496933,586.4212679,605.5460123
32,1220,3/2/2018,49.16296296,124.5164609,150.726,,,,,,,,,,,,,,,,,,32,s,5/7/2015,118.2256809,682.0428016,322.7159533,,32,m,5/7/2015,282.8769231,950.9807692,504.6
33,1220,4/20/2018,29.43529412,86.81135903,99.055,,,,,,,,,,,,,,,,,,33,s,5/8/2015,205.4074074,705.1234568,444.8148148,,33,m,5/8/2015,531.7615385,2202.884615,.
34,1220,5/17/2018,102.3388781,102.9052224,56.681,,,,,,,,,,,,,,,,,,34,s,5/9/2015,226.9502982,1329.403579,700.3658052,,34,m,5/9/2015,380.6307692,939.4230769,553.0384615
35,1220,6/18/2019,188.2634731,129.5748503,174.057,,,,,,,,,,,,,,,,,,35,s,5/10/2015,141.2307692,338.1538462,312.7384615,,35,m,5/10/2015,370.7368421,2360.779727,729.2163743
36,1220,6/18/2019,326.982659,152.0809249,66.252,,,,,,,,,,,,,,,,,,36,s,5/11/2015,172.1387755,567.8571429,425.9510204,,36,m,5/11/2015,371.3266533,1133.927856,542.741483
37,1220,7/10/2019,202.6485437,215.1339806,120.471,,,,,,,,,,,,,,,,,,37,s,5/12/2015,269.6866538,1793.945841,787.0096712,,37,m,5/12/2015,370.3153846,1418.903846,660.2538462
38,1225,5/16/2018,15.54579055,12.06570842,29.118,,,,,,,,,,,,,,,,,,38,s,5/14/2015,180.9767442,2729.263566,421.3953488,,38,m,5/14/2015,469.1860465,2151.375969,985.9302326
39,1225,6/18/2018,134.5593561,213.2655936,126.495,,,,,,,,,,,,,,,,,,39,s,5/15/2015,211.1724138,788.7739464,528,,39,m,5/15/2015,282.4401544,995.3281853,329.0501931
40,1225,5/22/2019,292.795082,124.9180328,101.427,,,,,,,,,,,,,,,,,,40,s,5/16/2015,211.3846154,1410.098619,561.3964497,,40,m,5/16/2015,300.6,1200.708333,1061.175
41,1225,5/22/2019,291.4112903,180.5645161,56.415,,,,,,,,,,,,,,,,,,41,s,5/17/2015,140.4219067,1096.73428,424.7951318,,41,m,5/17/2015,203.0103093,731.0103093,295.2
42,1225,6/18/2019,74.55438596,94.0662768,54.545,,,,,,,,,,,,,,,,,,42,s,5/18/2015,165.4615385,1109.653846,344.6769231,,42,m,5/18/2015,279.1566731,1232.978723,602.7852998
43,1225,6/18/2019,61.2,59.99175258,34.592,,,,,,,,,,,,,,,,,,43,s,5/19/2015,140.25,916.7916667,543.95,,43,m,5/19/2015,303.9298246,1755.360624,615.2748538
44,1226,5/29/2018,229.4361055,237.8701826,106.659,,,,,,,,,,,,,,,,,,44,s,5/20/2015,144,692.1289063,471,,44,m,5/20/2015,257,1111.309524,654.5
45,5000,8/2/2018,153.7087379,198.9961165,114.7526214,,,,,,,,,,,,,,,,,,45,s,5/21/2015,123.8970297,457.8019802,270.5584158,,45,m,5/21/2015,272.3606557,862.2131148,435
46,5003,7/30/2019,183.359375,253.96875,68.73046875,,,,,,,,,,,,,,,,,,46,s,5/22/2015,174.8372093,786.996124,268.4418605,,46,m,5/22/2015,283.3165049,774.7572816,697.3747573
47,5003,8/2/2018,219.3638171,498.72167,101.582505,,,,,,,,,,,,,,,,,,47,s,5/23/2015,241.9453125,608.5546875,462.8203125,,47,m,5/23/2015,352.2162162,1130.852391,588.7484407
48,5003,8/12/2018,48.6291498,95.19230769,75.97651822,,,,,,,,,,,,,,,,,,48,s,5/24/2015,245.3516699,882.4361493,591.3713163,,48,m,5/24/2015,344.015444,1354.169884,621.3359073
49,5004,8/3/2018,124.679089,107.7018634,92.19875776,,,,,,,,,,,,,,,,,,49,s,5/25/2015,213.6475248,694.7524752,679.1762376,,49,m,5/25/2015,279.034749,829.7490347,391.042471
50,5004,9/14/2018,93.22957198,114.7937743,27.41789883,,,,,,,,,,,,,,,,,,50,s,5/26/2015,216.9378758,667.4549098,304.4008016,,50,m,5/21/2015,300.7145791,970.3696099,813.4620123
51,5007,8/9/2018,200,350.906639,127.1452282,,,,,,,,,,,,,,,,,,51,s,5/27/2015,104.7017544,404.6978558,401.6842105,,51,m,5/27/2015,300.816,909.5,427.632
52,5007,9/7/2018,42.17640232,92.01934236,106.8348162,,,,,,,,,,,,,,,,,,52,s,5/28/2015,117.6092843,343.44294,274.1663443,,52,m,5/28/2015,291.0520231,756.955684,675.3757225
53,5008,8/3/2018,67.15862069,199.6612576,53.61298174,,,,,,,,,,,,,,,,,,53,s,5/29/2015,292.0714286,1421.507937,687.4761905,,53,m,5/29/2015,190.2142857,497.5396825,392.1190476
54,5010,8/4/2018,485.4368932,1188.297087,388.2174757,,,,,,,,,,,,,,,,,,54,s,5/30/2015,177.2138493,1054.826884,329.3279022,,54,m,5/30/2015,199.9148936,697.6595745,503.1411992
55,5019,6/8/2019,416.500994,1063.431412,333.3184891,,,,,,,,,,,,,,,,,,55,s,5/31/2015,185.9538462,1024.192308,418.2461538,,55,m,6/1/2015,310.8489796,1403.77551,567.5755102
56,5023,8/4/2018,246.7479675,334.2439024,140.9512195,,,,,,,,,,,,,,,,,,56,s,6/1/2015,124.1889117,235.523614,179.6550308,,56,m,6/3/2015,216,836.4342629,417.4183267
57,5048,1/13/2019,239.8343685,730.8819876,169.9602484,,,,,,,,,,,,,,,,,,57,s,6/3/2015,268.5386139,2446.970297,567.2316832,,57,m,6/4/2015,177.3692308,736.9038462,481.3846154
58,5048,2/25/2019,67.29512195,125.3963415,58.46341463,,,,,,,,,,,,,,,,,,58,s,6/4/2015,180.7185629,1179.580838,515.1616766,,58,m,6/5/2015,253.7075099,694.2094862,624.0474308
59,5050,1/19/2019,25.86796875,39.33984375,25.3921875,,,,,,,,,,,,,,,,,,59,s,6/5/2015,.,547.3577236,329.8292683,,59,m,6/6/2015,265.3140496,617.5619835,603.3966942
60,5051,1/24/2019,141.4428858,244.496994,84.66853707,,,,,,,,,,,,,,,,,,60,s,6/6/2015,116.8408644,446.6797642,280.4086444,,60,m,6/7/2015,485.7865613,1584.940711,.
61,5051,1/30/2019,39.19298246,25.39766082,351.5368421,,,,,,,,,,,,,,,,,,61,s,6/7/2015,214.5433526,1797.321773,718.982659,,61,m,6/8/2015,441.45,2816.6875,961.325
62,5052,2/25/2019,531.1937378,1128.082192,772.3444227,,,,,,,,,,,,,,,,,,62,s,6/8/2015,212.890595,1459.596929,665.3205374,,62,m,6/9/2015,303.8282209,1024.887526,469.2269939
63,5053,1/23/2019,38.8502947,141.6836935,96.20746562,,,,,,,,,,,,,,,,,,63,s,6/9/2015,241.6943907,1023.384913,578.8549323,,63,m,6/10/2015,226.425,773.9791667,329.175
64,5054,1/23/2019,485.0416667,1673.04375,374.175,,,,,,,,,,,,,,,,,,64,s,6/10/2015,254.1301775,1251.99211,437.7514793,,64,m,6/11/2015,314.757764,1144.099379,449.8881988
65,5053,1/30/2019,42.49879518,149.9096386,408.3614458,,,,,,,,,,,,,,,,,,65,s,6/11/2015,154.546875,821.5039063,614.296875,,65,m,6/12/2015,288.1558442,1076.536797,813.3766234
66,5055,1/23/2019,212.9817444,233.3610548,56.44624746,,,,,,,,,,,,,,,,,,66,s,6/12/2015,251.1111111,849.6296296,787.9259259,,66,m,6/13/2015,329.025,750.7708333,383.85
67,5055,3/7/2019,33.53333333,49.88888889,156.2790123,,,,,,,,,,,,,,,,,,67,s,6/13/2015,285.12,1214.98,762.336,,67,m,6/14/2015,172.1162791,430.251938,227.0465116
68,5056,1/23/2019,331.5876289,821.3195876,41.8556701,,,,,,,,,,,,,,,,,,68,s,6/14/2015,137.0462777,667.6861167,739.0020121,,68,m,6/15/2015,414.6585366,1209.715447,641.8780488
69,5056,2/25/2019,166.0040568,318.6876268,95.95131846,,,,,,,,,,,,,,,,,,69,s,6/15/2015,246.7079304,1202.669246,1106.390716,,69,m,6/16/2015,358.7244094,1430.11811,588.8503937
70,5057,1/24/2019,69.87906977,408.6104651,22.66976744,,,,,,,,,,,,,,,,,,70,s,6/16/2015,165.7622951,319.0778689,983.6557377,,70,m,6/17/2015,288.8981289,1308.232848,1196.482328
71,5057,1/31/2019,36.42699387,36.93251534,26.6993865,,,,,,,,,,,,,,,,,,71,s,6/17/2015,200.3414634,566.199187,833.8780488,,71,m,6/18/2015,280.7307692,1456.538462,540.3692308
72,5057,2/15/2019,137.8732106,110.0613497,64.8,,,,,,,,,,,,,,,,,,72,s,6/18/2015,144.4855491,723.7186898,656.2312139,,72,m,6/19/2015,256.4520256,906.5671642,374.3539446
73,5057,4/18/2019,141.1576846,146.4071856,106.8838323,,,,,,,,,,,,,,,,,,73,s,6/19/2015,152.5884692,434.612326,643.2286282,,73,m,6/20/2015,292.6004057,1382.981744,457.8498986
74,5060,1/23/2019,43.22113503,120.8219178,38.80861057,,,,,,,,,,,,,,,,,,74,s,6/21/2015,172.0641283,737.8156313,558.4208417,,74,m,6/21/2015,254.88,965.56,324.336
75,5060,2/7/2019,39.65195876,153.742268,534.1360825,,,,,,,,,,,,,,,,,,75,s,6/21/2015,193.3818182,555.6969697,504.969697,,75,m,6/21/2015,241.7445972,886.5225933,667.2612967
76,5060,2/15/2019,38.84942085,120.7528958,39.96370656,,,,,,,,,,,,,,,,,,76,s,6/22/2015,174.0483871,1101.431452,662.1774194,,76,m,6/22/2015,289.697446,1558.722986,633.5717092
77,5063,2/1/2019,20.85770751,28.62924901,17.43320158,,,,,,,,,,,,,,,,,,77,s,6/23/2015,144.8981289,556.008316,440.6320166,,77,m,6/23/2015,287.4193548,1604.455645,652.233871
78,5063,3/9/2019,44.06798419,71.79841897,895.3754941,,,,,,,,,,,,,,,,,,78,s,6/24/2015,.,617.5208333,632.625,,78,m,6/24/2015,233.7380457,892.8066528,468.2494802
79,5067,2/18/2019,106.4742268,147.3958763,37.87051546,,,,,,,,,,,,,,,,,,79,s,6/25/2015,.,837.7058824,365.5764706,,79,m,6/25/2015,197.4,643.125,550.35
80,5067,3/4/2019,212.2886598,180.1670103,48.17319588,,,,,,,,,,,,,,,,,,80,s,6/25/2015,163.1578947,816.1598441,240.5380117,,80,m,6/26/2015,352.8699029,981.4757282,534.8271845
