ct,ID,Date,Sex,%Binding,Cortisol (pg/well),Dilution,CF,Cort (pg/g feces),Cort (ng/g feces),Assay Date,%Binding,P4 (pg/well),Dilution,CF,P4 (pg/g feces),P4 (ng/g feces),Assay Date,%Binding,E2 (pg/well),Dilution,CF,E2 (pg/g feces),E2 (ng/g feces),Assay Date,
28,5057,2/15/19,F,34.263,26.406,60,20,648000,648,8/11/2020,71.315,3.371,1000,20,1378732.106,1378.732106,8/14/2020,03/19/00,5.98,180,50,1100613.497,1100.613497,8/13/2020,
29,5057,4/18/19,F,24.671,44.624,60,20,1068838.323,1068.838323,8/11/2020,69.927,3.536,1000,20,1411576.846,1411.576846,8/14/2020,03/13/00,8.15,180,50,1464071.856,1464.071856,8/13/2020,
30,5060,1/23/19,F,42.099,16.526,60,20,388086.1057,388.0861057,8/11/2020,52.303,6.135,180,20,432211.3503,432.2113503,8/27/2020,03/16/00,6.86,180,50,1208219.178,1208.219178,8/13/2020,
31,5060,2/7/19,F,40.954,21.588,600,20,5341360.825,5341.360825,8/13/2020,57.56,5.342,180,20,396519.5876,396.5195876,8/27/2020,03/13/00,8.285,180,50,1537422.68,1537.42268,8/13/2020,
32,5060,2/15/19,F,41.271,17.251,60,20,399637.0656,399.6370656,8/11/2020,55.864,5.59,180,20,388494.2085,388.4942085,8/27/2020,03/16/00,6.95,180,50,1207528.958,1207.528958,8/13/2020,
33,5063,2/1/19,F,65.942,7.351,600,20,174332.0158,174.3320158,8/13/2020,61.139,5.277,1000,20,208577.0751,208.5770751,8/26/2020,02/29/00,16.096,180,50,286292.4901,286.2924901,8/13/2020,
34,5063,3/9/19,F,29.244,37.755,600,20,8953754.941,8953.754941,8/13/2020,51.925,6.194,180,20,440679.8419,440.6798419,8/27/2020,03/05/00,12.11,60,50,717984.1897,717.9841897,8/14/2020,
35,5067,2/18/19,F,76.752,2.551,360,20,378705.1546,378.7051546,8/14/2020,78.245,2.582,1000,20,1064742.268,1064.742268,8/14/2020,03/14/00,7.943,180,50,1473958.763,1473.958763,8/13/2020,
36,5067,3/4/19,F,70.134,6.49,180,20,481731.9588,481.7319588,8/13/2020,57.794,5.148,1000,20,2122886.598,2122.886598,8/14/2020,03/10/00,9.709,180,50,1801670.103,1801.670103,8/13/2020,
37,5069,2/27/19,F,76.253,4.403,600,20,1052509.96,1052.50996,8/14/2020,53.935,5.751,1000,20,2291235.06,2291.23506,8/14/2020,52.533,23.513,180,50,4215478.088,4215.478088,8/13/2020,
38,5069,3/20/2019,F,35.168,28.139,600,20,6607984.344,6607.984344,8/14/2020,50.101,6.8,2000,20,5322896.282,5322.896282,8/26/2020,18.08,200.143,180,50,35250234.83,35250.23483,8/13/2020,
39,5069,4/19/2019,F,30.9,30.3,60,20,711545.9883,711.5459883,8/11/2020,55.85,5.588,180,20,393675.1468,393.6751468,8/27/2020,63.154,13.867,60,50,814109.589,814.109589,8/14/2020,
40,5075,3/9/2019,F,31.225,29.659,60,20,710395.2096,710.3952096,8/11/2020,53.476,5.951,180,20,427616.7665,427.6167665,8/27/2020,63.134,13.827,60,50,827964.0719,827.9640719,8/14/2020,
41,5076,4/18/2019,F,60.942,9194,60,20,223336032.4,223336.0324,8/13/2020,63.769,4.507,180,20,328445.3441,328.4453441,8/27/2020,70.02,10.031,60,50,609170.0405,609.1700405,8/13/2020,
42,5077,4/18/2019,F,27.775,36.519,60,20,907304.3478,907.3043478,8/11/2020,74.844,2.964,1000,20,1227329.193,1227.329193,8/14/2020,71.106,9.451,180,50,1761055.901,1761.055901,8/13/2020,
43,5092,7/30/2019,F,62.722,5.659,360,20,808428.5714,808.4285714,8/14/2020,65.969,4.028,1000,20,1598412.698,1598.412698,8/14/2020,60.211,16.358,180,50,2921071.429,2921.071429,8/13/2020,
44,5100,6/8/2019,F,38.644,18.511,540,20,4130553.719,4130.553719,8/14/2020,37.643,9.18,1000,20,3793388.43,3793.38843,8/14/2020,35.962,57.042,180,50,10606983.47,10606.98347,8/14/2020,
45,5107,8/7/2019,F,37.383,25.325,60,20,607800,607.8,8/13/2020,77.715,2.721,540,20,587736,587.736,8/26/2020,78.482,5.975,180,50,1075500,1075.5,8/13/2020,
46,5110,8/12/2019,F,70.159,3.792,540,20,837496.9325,837.4969325,8/14/2020,55.801,5.478,1000,20,2240490.798,2240.490798,8/14/2020,67.321,11.59,180,50,2133128.834,2133.128834,8/13/2020,
47,5113,8/14/2019,F,27.101,42.338,60,20,1051875.776,1051.875776,8/13/2020,70.384,3.5,1000,20,1449275.362,1449.275362,8/14/2020,51.921,24.516,20,50,507577.6398,507.5776398,8/14/2020,
