ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
21,1209,3/3/2018,,357.3975904,325.4016064,166.843,,,21,5053,1/30/2019,424.9879518,1499.096386,4083.614458,,,21,p,4/25/2015,380.1165049,585.8485437,740.807767,,21,s,4/24/2015,147.2217899,1116.55642,429.5719844,,21,m,4/24/2015,288.675,876.5,661.925
22,1209,3/13/2018,,266.6024096,315.9236948,97.88,,,22,5055,1/23/2019,2129.817444,2333.610548,564.4624746,,,22,p,4/26/2015,407.0020121,702.2535211,667.9678068,,22,s,4/25/2015,159.9378641,1712.23301,653.0097087,,22,m,4/25/2015,214.488,1300.08,407.256
23,1218,3/5/2018,,527.9051383,3793.498024,628.15,,,23,5055,3/7/2019,335.3333333,498.8888889,1562.790123,,,23,p,4/27/2015,331.372549,248.1882353,554.0705882,,23,s,4/26/2015,190.6875,504.0429688,411.421875,,23,m,4/26/2015,253.3517787,766.1857708,400.5296443
24,1218,3/25/2018,,534.2459016,2098.893443,391.918,,,24,5056,1/23/2019,3315.876289,8213.195876,418.556701,,,24,p,4/28/2015,486,471.3765182,884.8906883,,24,s,4/27/2015,123.6739563,1018.548708,202.9502982,,24,m,4/27/2015,188.6970297,734.0792079,393.1485149
25,1218,4/20/2018,,368.0159046,1245.666004,418.521,,,25,5056,2/25/2019,1660.040568,3186.876268,959.5131846,,,25,p,5/1/2015,357.7952756,368.1574803,721.7952756,,25,s,4/28/2015,191.1529412,902.5098039,600.7529412,,25,m,4/28/2015,252.2926829,535.3658537,540.3658537
26,1218,5/16/2018,,164.480315,171.8897638,308.74,,,26,5057,1/24/2019,698.7906977,4086.104651,226.6976744,,,26,p,5/2/2015,532.2645291,1442.452906,1091.735471,,26,s,5/1/2015,98.89494163,301.2451362,278.5680934,,26,m,5/1/2015,228.1878669,1237.651663,405.4637965
27,1218,5/14/2019,,4221.162325,1478.276553,790.076,,,27,5057,1/31/2019,364.2699387,369.3251534,266.993865,,,27,p,5/3/2015,337.2533849,545.377176,863.1876209,,27,s,5/2/2015,149.722334,777.8269618,285.1267606,,27,m,5/2/2015,262.7704918,847.6844262,593.6803279
28,1218,7/10/2019,,725.6571429,937.2244898,602.522,,,28,5057,2/15/2019,1378.732106,1100.613497,648,,,28,p,5/4/2015,332.71875,302.78125,1284.210938,,28,s,5/3/2015,147.8546845,1382.887189,380.0764818,,28,m,5/3/2015,389.8326693,1228.466135,673.4103586
29,1219,9/14/2017,,381.5860735,1218.201161,523.079,,,29,5057,4/18/2019,1411.576846,1464.071856,1068.838323,,,29,p,5/5/2015,344.2774566,281.0250482,1140.693642,,29,s,5/4/2015,121.3436293,705.2123552,357.7992278,,29,m,5/4/2015,354.3614458,458.4337349,750.9638554
30,1219,12/3/2017,,128.7017544,347.5633528,690.082,,,30,5060,1/23/2019,432.2113503,1208.219178,388.0861057,,,30,p,5/6/2015,516.6462168,930.1022495,636.0981595,,30,s,5/5/2015,224.008316,2502.037422,408.6237006,,30,m,5/5/2015,390.4186047,997.4612403,372.2790698
31,1220,3/2/2018,,372.4427184,2256.407767,801.833,,,31,5060,2/7/2019,396.5195876,1537.42268,5341.360825,,,31,p,5/7/2015,733.9837398,1740.430894,1002.317073,,31,s,5/6/2015,110.1525773,801.7319588,383.3072165,,31,m,5/6/2015,237.3496933,586.4212679,605.5460123
