id,date,start ,Est,fintun,fe_tun,intun,maleAgg,fe_agr
am,8/7/2015,9:40,1006.7,0,6,0,0,0
am,8/8/2015,9:10,809.5,0,6,2,2,2
am,8/9/2015,10:17,992.6,0,4,0,0,0
am,8/10/2015,10:34,1247.7,1,3,5,5,5
am,8/11/2015,10:54,1061.4,2,2,5,2,1
am,8/12/2015,11:37,909.9,6,6,6,6,6
am,8/13/2015,9:00,3923.1,2,2,1,1,1
am,8/15/2015,10:48,445.3,2,1,0,0,0
am,8/16/2015,9:50,766,0,5,5,4,2
am,8/17/2015,10:29,1684,2,0,5,3,2
am,3/16/2016,9:24,1645.6,0,6,0,0,0
am,3/17/2016,9:43,1300.7,3,4,1,1,1
am,3/18/2016,10:10,1508.5,4,7,4,3,3
bs,3/16/2016,9:46,1399.8,6,4,3,3,3
bs,3/17/2016,9:54,1251.3,3,7,3,3,3
bs,3/18/2016,10:19,996.1,2,3,2,2,2
bs,4/13/2016,11:58,1230.5,4,12,4,7,7
bs,4/14/2016,,1817,,,,,
bs,4/15/2016,10:36,2272.7,1,3,1,3,3
bs,4/16/2016,11:14,,0,1,0,0,0
bs,4/17/2016,10:50,1491.3,0,1,0,0,0
bs,4/18/2016,9:21,1794.4,4,1,0,0,0
bs,8/19/2016,8:02,1775.3,4,6,4,3,3
bs,8/20/2016,11:26,1828.7,1,3,1,2,2
bs,8/21/2016,11:08,947.3,5,3,2,0,0
gs,3/9/2016,10:07,1219,3,2,3,5,5
gs,3/10/2016,10:25,1377.5,2,2,2,3,3
gs,3/11/2016,10:20,1788.2,5,5,3,7,7
gs,3/12/2016,9:45,995.2,10,4,4,4,4
gs,3/13/2016,8:57,807.7,8,4,4,3,3
gs,3/14/2016,11:03,992.6,3,3,3,7,7
gs,5/12/2016,9:12,674,7,7,7,6,6
gs,5/13/2016,9:12,747.7,1,0,0,1,1
as,8/25/2015,10:16,1502.9,3,3,8,3,3
as,8/26/2015,10:52,794.4,3,2,0,0,0
as,8/27/2015,10:20,999.5,3,1,3,1,1
as,8/28/2015,11:00,1185.6,3,1,3,4,4
as,8/29/2015,9:13,1928.4,2,1,2,1,1
as,8/30/2015,10:15,1378.8,3,0,1,0,0
as,2/19/2016,10:22,1006,6,2,2,2,2
as,2/21/2016,,2296.2,,,,,
as,2/22/2016,10:37,458.5,0,6,0,0,0
as,2/23/2016,10:53,1734.5,3,5,3,2,2
as,2/24/2016,11:04,2618.6,1,7,1,1,1
as,2/25/2016,11:20,1541.4,1,5,1,1,1
as,2/26/2016,9:12, ,3,7,3,3,3
as,2/27/2016,9:10, ,3,3,3,3,3
as,2/28/2016,10:15, ,6,4,3,3,3
as,2/29/2016,9:53,715.6,2,6,2,1,1
as,3/1/2016,10:15,1291.7,4,6,1,1,1
as,3/2/2016,9:20,1570.7,0,5,0,0,0
as,3/3/2016,11:26,2200.3,2,4,2,0,0
as,3/4/2016,10:26,959.2,1,4,1,0,0
as,3/5/2016,10:21,2148.5,0,3,0,0,0
as,3/6/2016,9:32,1509.9,0,4,0,0,0
as,3/20/2015,9:17, ,3,9,3,2,2
as,3/22/2015,9:51,2382,4,6,4,3,3
as,3/23/2015,10:01,2140,2,2,2,3,3
as,3/24/2015,9:40,1701.4,1,2,1,1,1
as,3/25/2015,10:36,1230.4,2,4,4,3,3
as,3/26/2015,11:00, ,4,3,5,5,5
as,3/27/2015,9:42, ,6,4,7,6,6
as,3/28/2015,10:02,726.5,3,2,2,3,3
as,3/29/2015,9:59,808,4,2,5,5,5
as,3/30/2016,9:16,274.3,2,2,2,3,3
as,3/31/2016,10:48,992.2,2,4,2,2,2
as,4/2/2016,10:30,530.1,4,3,3,4,4
as,4/3/2016,10:38,409.7,3,5,4,5,5
as,4/6/2016,12:05,1147.6,4,7,4,5,5
as,4/19/2016,2:08,1775.3,1,1,0,0,0
as,4/20/2016,1:12,1828.7,0,1,0,0,0
as,4/21/2016,11:44,947.3,0,1,0,4,4
as,4/21/2016,11:48,947.3,8,8,7,7,7
as,4/22/2016,8:48,1298.5,0,1,0,0,0
as,4/23/2016,10:14,1346,2,2,0,0,0
as,4/24/2016,11:41,1770.4,1,1,0,0,0
as,4/26/2016,8:16,1339.5,1,1,0,0,0
as,4/27/2016,8:12,1097,3,1,0,0,0
as,4/28/2016,9:17,1276.8,1,1,0,1,1
as,4/29/2016,8:23,1815.9,1,1,0,0,0
as,5/1/2016,8:04,1041.7,2,1,0,0,0
as,5/2/2016,8:31,1160.9,2,1,0,0,0
as,5/3/2016,8:03,1245.5,0,3,0,0,0
as,5/5/2016,9:03,826.4,2,3,0,1,1
as,5/6/2016,10:00,788.4,2,1,2,2,2
as,5/7/2016,7:41,1794.5,2,2,0,0,0
as,5/8/2016,8:31,1603.4,1,1,0,0,0
as,5/9/2016,8:12,1146,1,1,0,0,0
as,5/10/2016,8:13,1166.9,0,0,0,0,0
as,5/11/2016,8:56,1219.2,2,1,0,0,0
as,5/12/2016,8:44,674,3,1,0,0,0
gm,3/19/2016,10:10,1190.8,5,2,2,0,0
gm,3/20/2016,8:49,506.4,8,5,5,2,2
gm,3/21/2016,11:21,1962.4,7,1,5,0,0
gm,3/22/2016,9:45,890.8,7,1,1,0,0
gm,3/23/2016,10:15,1446.1,5,1,1,2,2
gm,3/24/2016,9:54,1682.2,3,1,2,2,1
gm,3/25/2016,10:23,776.6,5,5,4,4,4
gm,3/26/2016,10:39,841.2,3,4,4,6,6
gm,3/27/2016,9:42,916.8,7,6,7,6,6
gm,3/28/2016,10:14,813.3,3,2,2,5,4
gm,3/29/2016,9:59,632.9,7,5,5,4,4
gm,3/30/2016,9:29,1024.1,7,2,2,5,4
gm,3/31/2016,10:39,901.6,8,4,4,7,7
gm,4/2/2016,10:21,814.2,8,6,6,5,5
