s_est,m_est,b_agr,m_agr,s_datecolct,s_est,m_dateclct,m_est
,,,,12-Jul-15,1121.1,11-Jul-15,943.4
,,,,13-Jul-15,1100.8,12-Jul-15,1929.3
,,,,13-Jul-15,776.7,13-Jul-15,1307.7
,,,,14-Jul-15,804.6,14-Jul-15,909.6
,,,,15-Jul-15,1068.4,15-Jul-15,878.7
,,,,16-Jul-15,1863.5,16-Jul-15,1087.6
,,,,17-Jul-15,846.4,17-Jul-15,1053
,,,,18-Jul-15,761.2,18-Jul-15,859.7
,,,,19-Jul-15,891.1,19-Jul-15,1111.2
,,,,20-Jul-15,375.9,20-Jul-15,985.1
,,,,21-Jul-15,472.2,21-Jul-15,1112
,,,,22-Jul-15,818.3,22-Jul-15,1126
,,,,23-Jul-15,412.6,na,na
,,,,24-Jul-15,1149.8,24-Jul-15,873.9
,,,,25-Jul-15,824.2,25-Jul-15,761.1
,,,,26-Jul-15,344.1,26-Jul-15,1187.2
,,,,27-Jul-15,625.9,27-Jul-15,668.2
,,,,28-Jul-15,350.7,28-Jul-15,386
,,,,29-Jul-15,841.8,29-Jul-15,712.3
,,,,30-Jul-15,611.2,30-Jul-15,1069
,,,,31-Jul-15,1250,31-Jul-15,849.8
,,,,1-Aug-15,455.8,1-Aug-15,964.1
,,,,2-Aug-15,546.5,2-Aug-15,764.1
,,,,3-Aug-15,421.8,3-Aug-15,1242.4
,,,,4-Aug-15,730.9,na,na
,,,,5-Aug-15,490.5,5-Aug-15,959.8
,,,,6-Aug-15,310.4,6-Aug-15,1057.1
,,,,7-Aug-15,711.3,7-Aug-15,1006.7
,,,,8-Aug-15,402.8,8-Aug-15,809.5
,,,,9-Aug-15,836,9-Aug-15,992.6
,,,,10-Aug-15,250.4,10-Aug-15,1247.7
,,,,11-Aug-15,405.3,11-Aug-15,1061.4
,,,,12-Aug-15,1001.9,12-Aug-15,909.9
,,,,13-Aug-15,424.4,13-Aug-15,3923.1
,,,,14-Aug-15,503,14-Aug-15,609.1
,,,,15-Aug-15,364.3,15-Aug-15,445.3
,,,,16-Aug-15,511.7,16-Aug-15,766
,,,,17-Aug-15,1543.4,17-Aug-15,1684
,,,,18-Aug-15,379,18-Aug-15,1174.8
,,,,19-Aug-15,1201.9,19-Aug-15,624.1
,,,,20-Aug-15,521.3,20-Aug-15,1060.3
,,,,21-Aug-15,1478.7,21-Aug-15,540
,,,,22-Aug-15,885.2,22-Aug-15,482.2
,,,,23-Aug-15,1268.2,23-Aug-15,470.3
,,,,24-Aug-15,2650.2,na,na
,,,,25-Aug-15,1502.9,25-Aug-15,687.6
,,,,26-Aug-15,794.4,26-Aug-15,882.7
,,,,27-Aug-15,999.5,27-Aug-15,801.7
,,,,28-Aug-15,1185.6,28-Aug-15,1114.8
,,,,29-Aug-15,1928.4,29-Aug-15,1484.7
,,,,30-Aug-15,1378.8,30-Aug-15,2255.9
,,,,31-Aug-15,1287.6,31-Aug-15,2110.7
,,,,1-Jan-16,338.9,1-Jan-16,670.3
,,,,2-Jan-16,298.7,2-Jan-16,991.1
,,,,3-Jan-16,1067.2,3-Jan-16,883.8
,,,,4-Jan-16,556.3,4-Jan-16,1340.9
,,,,5-Jan-16,860.9,5-Jan-16,1247.3
,,,,6-Jan-16,780,6-Jan-16,1139.9
,,,,7-Jan-16,1097.9,7-Jan-16,987.8
,,,,8-Jan-16,540.4,8-Jan-16,1155.7
,,,,9-Jan-16,820.1,9-Jan-16,1427
,,,,10-Jan-16,508.9,10-Jan-16,1921.5
,,,,11-Jan-16,972.3,11-Jan-16,1761.8
,,,,12-Jan-16,330.9,12-Jan-16,1675
,,,,13-Jan-16,826.5,13-Jan-16,2845
,,,,14-Jan-16,465,14-Jan-16,719.4
,,,,15-Jan-16,na,15-Jan-16,712
,,,,16-Jan-16,753.6,16-Jan-16,732
,,,,17-Jan-16,1249.1,17-Jan-16,683.8
,,,,18-Jan-16,654.5,18-Jan-16,951.7
,,,,19-Jan-16,478.4,19-Jan-16,1506.8
,,,,20-Jan-16,619.2,20-Jan-16,1346.6
,,,,21-Jan-16,1447.9,21-Jan-16,2155.4
,,,,22-Jan-16,337.9,22-Jan-16,1305.5
,,,,23-Jan-16,1085.5,23-Jan-16,1494.6
,,,,24-Jan-16,844.6,24-Jan-16,699.7
,,,,25-Jan-16,1070,25-Jan-16,887
,,,,26-Jan-16,391,26-Jan-16,1010.9
,,,,27-Jan-16,997.9,27-Jan-16,585.3
,,,,28-Jan-16,516.9,28-Jan-16,532.1
,,,,29-Jan-16,698.1,29-Jan-16,776.5
,,,,30-Jan-16,1972.7,30-Jan-16,1925.3
,,,,31-Jan-16,860.9,31-Jan-16,988.4
,,,,1-Feb-16,942.6,1-Feb-16,1568.2
,,,,2-Feb-16,990.6,2-Feb-16,1491.3
,,,,3-Feb-16,1158.9,3-Feb-16,1929.7
,,,,4-Feb-16,1199.1,4-Feb-16,1876
,,,,5-Feb-16,1289.1,5-Feb-16,2373.9
,,,,6-Feb-16,1379.5,6-Feb-16,545.8
,,,,7-Feb-16,1465,7-Feb-16,1295.8
,,,,8-Feb-16,1825.6,8-Feb-16,1659.9
,,,,9-Feb-16,1113.6,9-Feb-16,2762.8
,,,,10-Feb-16,1109.3,10-Feb-16,2058.6
,,,,11-Feb-16,2653.5,11-Feb-16,2462.2
,,,,12-Feb-16,1122,12-Feb-16,1778.3
,,,,13-Feb-16,594.1,13-Feb-16,2588.4
,,,,14-Feb-16,250.9,14-Feb-16,857
,,,,15-Feb-16,215.9,15-Feb-16,1532.8
,,,,16-Feb-16,1651.6,16-Feb-16,2113.7
,,,,17-Feb-16,251.3,17-Feb-16,2273.9
,,,,18-Feb-16,1880.1,18-Feb-16,951.3
,,,,19-Feb-16,1006,19-Feb-16,1472.2
,,,,21-Feb-16,2296.2,20-Feb-16,158.6
,,,,22-Feb-16,458.5,21-Feb-16,1455.9
,,,,23-Feb-16,1734.5,22-Feb-16,1393.7
,,,,24-Feb-16,2618.6,23-Feb-16,1310
