s_datecolct,s_est,m_est
3/4/2016,959.2,1016.5
3/5/2016,2148.5,468.5
3/6/2016,1509.9,1413
3/7/2016,2637.5,1181
3/8/2016,1396.2,462.5
3/9/2016,1219,626.7
3/10/2016,1377.5,1319.5
3/11/2016,1788.2,850.1
3/12/2016,995.2,433.7
3/13/2016,807.7,1358.4
3/14/2016,992.6,822.7
3/15/2016,626.1,1296.1
3/16/2016,1399.8,1541.8
3/17/2016,1251.3,1645.6
3/18/2016,996.1,1300.7
3/19/2016,1503.3,1508.5
3/21/2016,2382,1190.8
3/22/2016,2140,506.4
3/23/2016,1701.4,1962.4
3/24/2016,1230.4,890.8
3/25/2016,na,1446.1
3/26/2016,na,1682.2
3/27/2016,na,776.6
3/28/2016,726.5,841.2
3/29/2016,808,916.8
3/30/2016,274.3,813.3
3/31/2016,992.2,632.9
3/31/2016,772.9,1024.1
4/1/2016,847.6,901.6
4/2/2016,530.1,946.3
4/3/2016,409.7,814.2
4/4/2016,266.1,0
4/5/2016,498.5,708.4
4/6/2016,1147.6,401.4
4/7/2016,906.2,na
4/8/2016,2014.4,na
4/10/2016,918.8,na
4/10/2016,3294.1,na
4/11/2016,1387.3,na
4/12/2016,879.7,na
4/13/2016,1230.5,na
4/14/2016,1817,na
4/15/2016,2272.7,na
4/17/2016,1491.3,na
4/18/2016,1794.4,na
4/19/2016,1775.3,na
4/20/2016,1828.7,na
4/21/2016,947.3,na
4/22/2016,1298.5,na
4/23/2016,1346,na
4/24/2016,1770.4,na
4/25/2016,1584.3,na
4/26/2016,1339.5,na
4/27/2016,1097,na
4/28/2016,1276.8,na
4/29/2016,1815.9,na
4/30/2016,1512.8,na
5/1/2016,1041.7,na
5/2/2016,1160.9,na
5/3/2016,1245.5,na
5/4/2016,501.1,na
5/5/2016,826.4,na
5/6/2016,788.4,na
5/7/2016,1794.5,na
5/8/2016,1603.4,na
5/9/2016,1146,na
5/10/2016,1166.9,na
5/11/2016,1219.2,na
5/12/2016,674,na
5/13/2016,747.7,na
5/15/2016,876.5,na
5/16/2016,1274.7,na
5/17/2016,1653.3,na
5/18/2016,1750.1,na
5/19/2016,1798.7,na
5/23/2016,1153.8,na
5/24/2016,1711.8,na
5/25/2016,1320.6,na
5/26/2016,765.4,na
5/28/2016,1478.6,na
5/29/2016,1281.5,na
6/1/2016,1262.8,na
6/3/2016,2299.4,na
6/5/2016,1179.5,na
6/6/2016,988.8,na
6/7/2016,2092.2,na
6/8/2016,1240,na
6/10/2016,1620.7,na
6/11/2016,865.9,na
6/12/2016,909.2,na
6/13/2016,932,na
6/15/2016,1326.2,na
6/16/2016,1337.4,na
6/17/2016,1056.6,na
6/18/2016,1336.9,na
6/19/2016,800.9,na
6/20/2016,1084.6,na
6/21/2016,1186.4,na
6/22/2016,1223.6,na
6/24/2016,679.2,na
6/25/2016,1785.9,na
6/29/2016,1721.6,na
6/30/2016,378,na
7/12/2016,2233.2,na
7/13/2016,1813.2,na
7/14/2016,1539.3,na
7/17/2016,1351.3,na
7/18/2016,1062.5,na
7/19/2016,1303.4,na
7/20/2016,885.2,na
7/21/2016,2568.9,na
7/22/2016,1003.4,na
7/23/2016,1105,na
7/24/2016,868.5,na
7/25/2016,1064.5,na
7/26/2016,1018.7,na
7/27/2016,776.5,na
7/28/2016,1398.9,na
7/29/2016,407.5,na
7/30/2016,584.1,na
7/31/2016,717.2,na
