Date,ID,Est,pro,cort,maleAgg,femagg,in tun
16-May-15,m-b,1200.708333,1061.175,300.6,0,0,0
17-May-15,m-b,731.0103093,295.2,203.0103093,1,0,2
18-May-15,m-b,1232.978723,602.7852998,279.1566731,0,0,1
19-May-15,m-b,1755.360624,615.2748538,303.9298246,0,0,0
20-May-15,m-b,1111.309524,654.5,257,1,0,2
21-May-15,m-b,862.2131148,435,272.3606557,4,0,5
22-May-15,m-b,774.7572816,697.3747573,283.3165049,1,0,3
23-May-15,m-b,1130.852391,588.7484407,352.2162162,1,0,1
24-May-15,m-b,1354.169884,621.3359073,344.015444,1,0,3
25-May-15,m-b,829.7490347,391.042471,279.034749,4,0,5
26-May-15,m-b,970.3696099,813.4620123,300.7145791,1,0,1
27-May-15,m-b,909.5,427.632,300.816,1,0,3
28-May-15,m-b,756.955684,675.3757225,291.0520231,1,1,1
29-May-15,m-b,497.5396825,392.1190476,190.2142857,1,0,1
30-May-15,m-b,697.6595745,503.1411992,199.9148936,0,0,2
31-May-15,m-b,,,,5,0,6
1-Jun-15,m-b,1403.77551,567.5755102,310.8489796,5,3,5
2-Jun-15,m-b,,,,1,0,1
3-Jun-15,m-b,836.4342629,417.4183267,216,5,2,3
4-Jun-15,m-b,736.9038462,481.3846154,177.3692308,6,0,5
5-Jun-15,m-b,694.2094862,624.0474308,253.7075099,6,3,4
6-Jun-15,m-b,617.5619835,603.3966942,265.3140496,1,0,1
7-Jun-15,m-b,1584.940711,.,485.7865613,1,0,1
8-Jun-15,m-b,2816.6875,961.325,441.45,6,0,5
9-Jun-15,m-b,1024.887526,469.2269939,303.8282209,5,4,6
10-Jun-15,m-b,773.9791667,329.175,226.425,1,0,6
11-Jun-15,m-b,1144.099379,449.8881988,314.757764,1,0,2
12-Jun-15,m-b,1076.536797,813.3766234,288.1558442,2,1,2
13-Jun-15,m-b,750.7708333,383.85,329.025,6,2,7
14-Jun-15,m-b,430.251938,227.0465116,172.1162791,1,0,1
15-Jun-15,m-b,1209.715447,641.8780488,414.6585366,3,2,4
16-Jun-15,m-b,1430.11811,588.8503937,358.7244094,2,1,4
17-Jun-15,m-b,1308.232848,1196.482328,288.8981289,3,1,3
18-Jun-15,m-b,1456.538462,540.3692308,280.7307692,1,0,2
19-Jun-15,m-b,906.5671642,374.3539446,256.4520256,2,0,4
20-Jun-15,m-b,1382.981744,457.8498986,292.6004057,1,1,1
21-Jun-15,m-b,965.56,324.336,254.88,2,1,3
22-Jun-15,m-b,1558.722986,633.5717092,289.697446,3,0,4
23-Jun-15,m-b,1604.455645,652.233871,287.4193548,0,0,1
24-Jun-15,m-b,892.8066528,468.2494802,233.7380457,1,0,1
25-Jun-15,m-b,643.125,550.35,197.4,3,0,4
26-Jun-15,m-b,981.4757282,534.8271845,352.8699029,8,2,11
27-Jun-15,m-b,491.0291262,537.6699029,253.5378641,4,2,5
28-Jun-15,m-b,944.3664717,565.8479532,223.2982456,1,1,2
29-Jun-15,m-b,1248.041667,1585.625,361.5,3,2,5
30-Jun-15,m-b,1617.00611,647.9266802,326.2729124,2,2,4
1-Jul-15,m-b,1069.036145,499.3253012,232.9156627,1,0,3
2-Jul-15,m-b,788.0160321,503.7354709,414.1082164,1,1,3
3-Jul-15,m-b,721.4893617,301.9729207,198.8704062,3,0,5
4-Jul-15,m-b,970.9437751,542.8674699,235.4457831,2,0,8
5-Jul-15,m-b,386.6197183,280.1287726,162.2535211,3,1,4
6-Jul-15,m-b,1270.647773,362.0890688,346.8097166,4,1,10
24-Jul-15,m-b,873.9263804,1483.141104,360.809816,2,1,4
25-Jul-15,m-b,761.0784314,786.7764706,271.0588235,1,1,3
26-Jul-15,m-b,1187.245509,682.1796407,175.5449102,3,3,5
27-Jul-15,m-b,668.2341651,907.1861804,337.8886756,1,1,3
28-Jul-15,m-b,385.987395,771.8067227,283.9159664,1,1,1
29-Jul-15,m-b,712.2664016,837.5666004,302.4572565,1,0,1
25-Jan-16,m-b,886.9685039,376.1574803,305.708502,0,0,0
26-Jan-16,m-b,1010.909091,412.5656566,306.9212598,6,6,6
27-Jan-16,m-b,585.2631579,274.7758285,309.1636364,2,0,3
28-Jan-16,m-b,532.0750988,268.1343874,189.0526316,3,3,3
29-Jan-16,m-b,776.4848485,399.9111111,192.6640316,0,0,1
30-Jan-16,m-b,1925.317919,623.0211946,299.3454545,1,1,2
31-Jan-16,m-b,988.4241245,372.2801556,582.7976879,2,2,1
1-Feb-16,m-b,1568.203125,535.7265625,310.1322957,2,2,2
2-Feb-16,m-b,1491.284585,332.3715415,343.6875,2,2,2
3-Feb-16,m-b,1929.719439,510.501002,315.4624506,2,2,2
4-Feb-16,m-b,1875.964215,573.2962227,330.5651303,2,2,3
5-Feb-16,m-b,2373.938224,553.4903475,387.554672,0,0,0
6-Feb-16,m-b,545.7746479,251.2354125,311.1428571,2,2,2
7-Feb-16,m-b,1295.769981,575.7348928,178.1891348,2,2,3
8-Feb-16,m-b,1659.860835,576.0795229,295.5087719,2,2,2
9-Feb-16,m-b,2762.811881,582.7564356,360.7157058,2,2,9
10-Feb-16,m-b,2058.585462,464.1493124,422.9465347,2,2,2
11-Feb-16,m-b,2462.192308,486.7846154,340.762279,1,1,1
12-Feb-16,m-b,1778.31068,515.4640777,279.6923077,2,2,2
13-Feb-16,m-b,2588.431772,525.6130346,262.7650485,0,0,0
14-Feb-16,m-b,857.02,323.256,336.5376782,0,0,0
15-Feb-16,m-b,1532.768031,331.1890838,362.376,2,1,1
16-Feb-16,m-b,2113.727088,416.3340122,163.3684211,0,0,1
17-Feb-16,m-b,2273.910387,521.7678208,184.5458248,1,1,1
18-Feb-16,m-b,951.2851406,470.9076305,181.0264766,1,1,1
19-Feb-16,m-b,1472.217742,651.9758065,133.6565657,2,0,3
19-Feb-16,m-b,,,,0,0,2
20-Feb-16,m-b,158.5686654,81.0754352,380.25,1,1,3
21-Feb-16,m-b,1455.898438,461.3125,73.09090909,1,1,1
22-Feb-16,m-b,1393.722772,526.4079208,271.8984375,3,2,3
23-Feb-16,m-b,1310.039216,585.654902,273.8138614,0,0,2
24-Feb-16,m-b,1149.787645,453.8841699,379.5529412,2,2,2
1-Mar-16,m-b,466.3600783,4951.726027,254.1686747,3,3,3
2-Mar-16,m-b,870.1386139,491.3346535,368.8062622,1,1,1
3-Mar-16,m-b,1016.546906,480.5429142,338.1861386,0,0,0
4-Mar-16,m-b,468.5062241,336.3070539,353.1017964,2,2,1
5-Mar-16,m-b,1413.034623,406.2729124,244.5311203,0,0,0
6-Mar-16,m-b,1181.040816,530.5061224,430.3869654,1,1,1
7-Mar-16,m-b,462.4902724,1895.486381,348.0979592,2,1,2
8-Mar-16,m-b,626.7184466,128.0621359,307.8910506,2,1,2
9-Mar-16,m-b,1319.524752,503.8415842,328.7533981,1,1,1
10-Mar-16,m-b,850.0779727,389.0604288,377.1089109,3,3,0
11-Mar-16,m-b,433.7449393,167.3036437,334.5964912,1,1,2
12-Mar-16,m-b,1358.439425,439.8193018,180.582996,2,2,5
13-Mar-16,m-b,822.7360308,372.9325626,349.1334702,0,0,0
14-Mar-16,m-b,1296.115385,369.6692308,350.0809249,2,2,2
15-Mar-16,m-b,1541.77551,502.3755102,340.7538462,2,2,3
11-Jun-16,m-b,,,,3,3,3
