p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
19-May-15,505.8939096,1210.32613,428.5265226,,18-May-15,1109.653846,344.6769231,165.4615385,,18-May-15,1232.978723,602.7852998,279.1566731
20-May-15,153.7649326,1095.375723,450.867052,,19-May-15,916.7916667,543.95,140.25,,19-May-15,1755.360624,615.2748538,303.9298246
21-May-15,375.581854,889.6804734,376.1893491,,20-May-15,692.1289063,471,144,,20-May-15,1111.309524,654.5,257
22-May-15,829.8412698,1208.142857,486.3492063,,21-May-15,457.8019802,270.5584158,123.8970297,,21-May-15,862.2131148,435,272.3606557
23-May-15,1099.726358,731.8551308,563.3802817,,22-May-15,786.996124,268.4418605,174.8372093,,22-May-15,774.7572816,697.3747573,283.3165049
24-May-15,1046.928571,1577.380952,.,,23-May-15,608.5546875,462.8203125,241.9453125,,23-May-15,1130.852391,588.7484407,352.2162162
25-May-15,345.0135397,1969.555126,361.8800774,,24-May-15,882.4361493,591.3713163,245.3516699,,24-May-15,1354.169884,621.3359073,344.015444
26-May-15,448.950495,738.9386139,356.039604,,25-May-15,694.7524752,679.1762376,213.6475248,,25-May-15,829.7490347,391.042471,279.034749
27-May-15,1756.54321,1948.469136,.,,26-May-15,667.4549098,304.4008016,216.9378758,,21-May-15,970.3696099,813.4620123,300.7145791
28-May-15,375.1673152,1277.649805,.,,27-May-15,404.6978558,401.6842105,104.7017544,,27-May-15,909.5,427.632,300.816
29-May-15,510.6885246,937.6229508,.,,28-May-15,343.44294,274.1663443,117.6092843,,28-May-15,756.955684,675.3757225,291.0520231
30-May-15,674.2367347,603.844898,.,,29-May-15,1421.507937,687.4761905,292.0714286,,29-May-15,497.5396825,392.1190476,190.2142857
31-May-15,513.4140625,730.7578125,.,,30-May-15,1054.826884,329.3279022,177.2138493,,30-May-15,697.6595745,503.1411992,199.9148936
1-Jun-15,844.876494,499.9840637,.,,31-May-15,1024.192308,418.2461538,185.9538462,,30-May-15,.,.,.
3-Jun-15,446.8196721,685.647541,.,,1-Jun-15,235.523614,179.6550308,124.1889117,,1-Jun-15,1403.77551,567.5755102,310.8489796
4-Jun-15,607.8962076,1274.419162,.,,3-Jun-15,2446.970297,567.2316832,268.5386139,,3-Jun-15,836.4342629,417.4183267,216
5-Jun-15,263.4567901,760.7160494,.,,4-Jun-15,1179.580838,515.1616766,180.7185629,,4-Jun-15,736.9038462,481.3846154,177.3692308
6-Jun-15,426.3673469,1057.15102,.,,5-Jun-15,547.3577236,329.8292683,.,,5-Jun-15,694.2094862,624.0474308,253.7075099
7-Jun-15,379.81893,920.7407407,.,,6-Jun-15,446.6797642,280.4086444,116.8408644,,6-Jun-15,617.5619835,603.3966942,265.3140496
8-Jun-15,440.2755906,946.3228346,324.2519685,,7-Jun-15,1797.321773,718.982659,214.5433526,,7-Jun-15,1584.940711,.,485.7865613
9-Jun-15,401.5503876,433.4186047,462.1705426,,8-Jun-15,1459.596929,665.3205374,212.890595,,8-Jun-15,2816.6875,961.325,441.45
10-Jun-15,415.031746,726.6428571,413.8888889,,9-Jun-15,1023.384913,578.8549323,241.6943907,,9-Jun-15,1024.887526,469.2269939,303.8282209
11-Jun-15,424.1484536,764.1154639,303.8845361,,10-Jun-15,1251.99211,437.7514793,254.1301775,,10-Jun-15,773.9791667,329.175,226.425
12-Jun-15,242.9019608,596.7058824,336.627451,,11-Jun-15,821.5039063,614.296875,154.546875,,11-Jun-15,1144.099379,449.8881988,314.757764
13-Jun-15,665.9639279,852.6973948,418.6773547,,12-Jun-15,849.6296296,787.9259259,251.1111111,,12-Jun-15,1076.536797,813.3766234,288.1558442
14-Jun-15,1322.811881,644.150495,389.1485149,,13-Jun-15,1214.98,762.336,285.12,,13-Jun-15,750.7708333,383.85,329.025
15-Jun-15,540.745098,719.5058824,397.2705882,,14-Jun-15,667.6861167,739.0020121,137.0462777,,14-Jun-15,430.251938,227.0465116,172.1162791
16-Jun-15,636.630303,841.7212121,341.8181818,,15-Jun-15,1202.669246,1106.390716,246.7079304,,15-Jun-15,1209.715447,641.8780488,414.6585366
17-Jun-15,423.0361446,640.4819277,443.8554217,,16-Jun-15,319.0778689,983.6557377,165.7622951,,16-Jun-15,1430.11811,588.8503937,358.7244094
18-Jun-15,816.6412826,822.0601202,471.5831663,,17-Jun-15,566.199187,833.8780488,200.3414634,,17-Jun-15,1308.232848,1196.482328,288.8981289
19-Jun-15,373.6895874,940.4557957,.,,18-Jun-15,723.7186898,656.2312139,144.4855491,,18-Jun-15,1456.538462,540.3692308,280.7307692
20-Jun-15,1007.062016,986.5813953,474.496124,,19-Jun-15,434.612326,643.2286282,152.5884692,,19-Jun-15,906.5671642,374.3539446,256.4520256
21-Jun-15,3377.769547,727.654321,713.0864198,,20-Jun-15,.,.,.,,20-Jun-15,1382.981744,457.8498986,292.6004057
21-Jun-15,827.4806202,529.9069767,318.2945736,,21-Jun-15,737.8156313,558.4208417,172.0641283,,21-Jun-15,965.56,324.336,254.88
