Date,ID,Est,lest,pro,lpro,cort,lcort,maleAgg,M_Agg_Intense,lmagg,femagg,F_Agg_Intense,lfagg,in tun,lintun
31-Mar-16,a-s,992.2336066,0.333709988,252.675835,2.40256371,240.3442623,2.380833759,2,2,2.1,2,2,2.1,2,2.1
2-Apr-16,a-s,530.1178782,0.367057008,141.2796781,2.150079697,205.2495088,2.312282126,4,4,4.1,6,5,6.1,3,3.1
3-Apr-16,a-s,409.6721311,0.382784435,77.18834951,1.887551755,185.9016393,2.269283219,5,5,5.1,5,5,5.1,4,4.1
6-Apr-16,a-s,1147.631068,0.326818501,272.2174757,2.434916002,255.7048544,2.407738973,5,5,5.1,5,5,5.1,4,4.1
20-Apr-16,a-s,1828.723404,0.306546482,597.7794971,2.776541015,355.1953578,2.550467281,4,4,4.1,4,4,4.1,0,0.1
21-Apr-16,a-s,947.3346304,0.335964674,466.3657588,2.668726656,446.4280156,2.649751441,7,5,7.1,7,5,7.1,7,7.1
22-Apr-16,a-s,1298.461538,0.321189265,343.7255717,2.536211843,341.7380457,2.533693331,0,1,0.1,0,1,0.1,0,0.1
23-Apr-16,a-s,1345.976563,0.319587094,326.71875,2.514174059,287.15625,2.458118273,0,1,0.1,0,1,0.1,0,0.1
24-Apr-16,a-s,1770.393701,0.307875152,442.3228346,2.64573936,301.5354331,2.479338353,0,1,0.1,0,1,0.1,0,0.1
26-Apr-16,a-s,1339.492901,0.319801425,295.0831643,2.469944432,339.3346856,2.530628254,0,1,0.1,0,1,0.1,0,0.1
27-Apr-16,a-s,1096.995885,0.328925188,333.563786,2.523178895,224.1481481,2.350535155,0,1,0.1,1,1,1.1,0,0.1
28-Apr-16,a-s,1276.814672,0.321944248,323.1428571,2.509394561,174.5096525,2.241819454,1,1,1.1,1,1,1.1,0,0.1
29-Apr-16,a-s,1815.867769,0.30683466,423.7438017,2.627103359,314.4049587,2.497489387,0,1,0.1,0,1,0.1,0,0.1
1-May-16,a-s,1041.686275,0.331374145,223.1921569,2.348678929,208.8705882,2.31987729,0,1,0.1,0,1,0.1,0,0.1
2-May-16,a-s,1160.914634,0.326285535,280.9430894,2.448618354,253.8292683,2.404541698,0,1,0.1,0,1,0.1,0,0.1
3-May-16,a-s,1245.539419,0.323064463,485.0124481,2.685752885,292.9294606,2.466763052,0,1,0.1,0,1,0.1,0,0.1
5-May-16,a-s,826.4117647,0.342794873,286.0784314,2.456485116,278.1882353,2.44433876,1,1,1.1,1,1,1.1,0,0.1
7-May-16,a-s,1794.45663,0.307320406,434.1375872,2.637627388,372.4905284,2.571115234,0,1,0.1,0,1,0.1,0,0.1
8-May-16,a-s,1603.444227,0.312007237,252.8610568,2.402881949,342.1056751,2.534160279,0,1,0.1,0,1,0.1,0,0.1
