y1,s_est,,,y2,s_est,,,,,,,,
7/7/2015,690.5335968,,,7/7/2016,,,,,,,,,
7/8/2015,593.6307054,,,7/8/2016,,,,,,,,,
7/9/2015,1255.125,,,7/9/2016,,,,,,,,,
7/10/2015,910.3244275,,,7/10/2016,,,,,,,,,
7/11/2015,2502.529183,,,7/11/2016,,,,,,,,,
7/12/2015,1121.141199,,,7/12/2016,2233.2,,,,,,,,
7/13/2015,1489.09025,,,7/13/2016,1813.2,,,,,,,,
7/14/2015,804.6346154,,,7/14/2016,1539.3,,,,,,,,
7/15/2015,1068.436874,,,7/15/2016,,,,,,,,,
7/16/2015,1863.463035,,,7/16/2016,,,,,,,,,
7/17/2015,846.4413519,,,7/17/2016,1351.3,,,,,,,,
7/18/2015,761.1570248,,,7/18/2016,1062.5,,,,,,,,
7/19/2015,891.1491935,,,7/19/2016,1303.4,,,,,,,,
7/20/2015,375.8531746,,,7/20/2016,885.2,,,,,,,,
7/21/2015,472.248996,,,7/21/2016,2568.9,,,,,,,,
7/22/2015,818.254902,,,7/22/2016,1003.4,,,,,,,,
7/23/2015,412.5527831,,,7/23/2016,1105,,,,,,,,
7/24/2015,1149.772727,,,7/24/2016,868.5,,,,,,,,
7/25/2015,824.185567,,,7/25/2016,1064.5,,,,,,,,
7/26/2015,344.0740741,,,7/26/2016,1018.7,,,,,,,,
7/27/2015,625.9038462,,,7/27/2016,776.5,,,,,,,,
7/28/2015,350.6639839,,,7/28/2016,1398.9,,,,,,,,
7/29/2015,841.8410853,,,7/29/2016,407.5,,,,,,,,
7/30/2015,611.1632653,,,7/30/2016,584.1,,,,,,,,
7/31/2015,1250.039216,,,7/31/2016,717.2,,,,,,,,
8/1/2015,455.8269231,,,8/1/2016,2656.3,,,,,,,,
8/2/2015,546.506986,,,8/2/2016,,,,,,,,,
8/3/2015,421.8019802,,,8/3/2016,1132.4,,,,,,,,
8/4/2015,730.8582834,,,8/4/2016,921.7,,,,,,,,
8/5/2015,490.4958678,,,8/5/2016,939.3,,,,,,,,
8/6/2015,310.3784861,,,8/6/2016,991.2,,,,,,,,
8/7/2015,711.2936345,,,8/7/2016,676.6,,,,,,,,
8/8/2015,402.7692308,,,8/8/2016,561.9,,,,,,,,
8/9/2015,836.0437376,,,8/9/2016,434.2,,,,,,,,
8/10/2015,250.42,,,8/10/2016,782.8,,,,,,,,
8/11/2015,432.251,,,8/11/2016,,,,,,,,,
8/12/2015,1001.9,,,8/12/2016,382.8,,,,,,,,
8/13/2015,424.3570058,,,8/13/2016,477.2,,,,,,,,
8/14/2015,502.9614604,,,8/14/2016,923.8,,,,,,,,
8/15/2015,364.2743539,,,8/15/2016,784.1,,,,,,,,
8/16/2015,511.6633663,,,8/16/2016,386.3,,,,,,,,
8/17/2015,1543.423077,,,8/17/2016,678.8,,,,,,,,
8/18/2015,378.9866157,,,8/18/2016,773.7,,,,,,,,
8/19/2015,1201.936759,,,8/19/2016,643.6,,,,,,,,
8/20/2015,521.257485,,,8/20/2016,593.4,,,,,,,,
8/21/2015,1478.732943,,,8/21/2016,1055.65,,,,,,,,
8/22/2015,885.2446184,,,8/22/2016,802.2,,,,,,,,
8/23/2015,1268.154762,,,8/23/2016,351.3,,,,,,,,
8/24/2015,2650.159681,,,8/24/2016,490.3,,,,,,,,
8/25/2015,1502.922465,,,8/25/2016,628.7,,,,,,,,
8/26/2015,794.3866944,,,8/26/2016,527.5,,,,,,,,
8/27/2015,999.5238095,,,8/27/2016,707.5,,,,,,,,
8/28/2015,1185.571142,,,8/28/2016,734.1,,,,,,,,
8/29/2015,1928.401559,,,8/29/2016,702.6,,,,,,,,
8/30/2015,1378.8,,,8/30/2016,582.5,,,,,,,,
8/31/2015,1287.582645,,,8/31/2016,467.8,,,,,,,,
