id,date,day,m_est,m_pro,m_cort
yeara,7/10/2015,94,1346.485437,363.5650485,921.4834951
yeara,7/11/2015,95,943.4419552,295.6985743,568.9368635
yeara,7/12/2015,96,1929.311024,306,783.7795276
yeara,7/13/2015,97,1307.69685,263.2677165,598.9370079
yeara,7/14/2015,98,909.6,316.368,737.112
yeara,7/15/2015,99,878.73706,270.7080745,534.0621118
yeara,7/16/2015,100,1087.56238,267.4088292,623.5163148
yeara,7/17/2015,101,1052.959184,265.9591837,1022.595918
yeara,7/18/2015,102,859.6551724,425.5740365,960.2677485
yeara,7/19/2015,103,1111.220472,242.1496063,621.2834646
yeara,7/20/2015,104,985.0701403,284.3927856,764.8016032
yeara,7/21/2015,105,1112.011952,263.9760956,913.1474104
yeara,7/22/2015,106,1125.96,219.096,623.712
yeara,7/24/2015,107,873.9263804,360.809816,1483.141104
yeara,7/25/2015,108,761.0784314,271.0588235,786.7764706
yeara,7/26/2015,109,1187.245509,175.5449102,682.1796407
yeara,7/27/2015,110,668.2341651,337.8886756,907.1861804
yeara,7/28/2015,111,385.987395,283.9159664,771.8067227
yeara,7/29/2015,112,712.2664016,302.4572565,837.5666004
yeara,7/30/2015,113,1069.010101,283.3454545,917.8424242
yeara,7/31/2015,114,849.8019802,299.5485149,888.4990099
yeara,8/1/2015,115,964.0545809,217.1929825,740.6081871
yeara,8/2/2015,116,764.0655106,304.9942197,873.3410405
yeara,8/3/2015,117,1242.375,222.825,565.8
yeara,8/5/2015,118,959.8125,169.5,739.35
yeara,8/6/2015,119,1057.081633,217.1020408,589.1020408
yeara,8/7/2015,120,1006.687371,208.9937888,505.9130435
yeara,8/8/2015,121,809.5069034,261.9408284,738.0591716
yeara,8/9/2015,122,992.5833333,217.725,329.675
yeara,8/10/2015,123,1247.743902,67.68292683,524.8536585
yeara,8/11/2015,124,1061.396304,258.9486653,513.0677618
yeara,8/12/2015,125,909.8837209,340.255814,
yeara,8/13/2015,126,3923.083004,248.0158103,421.4940711
yeara,8/14/2015,127,609.0891473,415.5348837,1010.302326
yeara,8/15/2015,128,445.3469388,160.5306122,392.3265306
yeara,8/16/2015,129,765.9719439,89.60320641,237.8597194
yeara,8/17/2015,130,1684.045643,252.2987552,512.5643154
yeara,8/18/2015,131,1174.802495,248.4823285,643.3347193
yeara,8/19/2015,132,624.0588235,331.6941176,910.6352941
yeara,8/20/2015,133,1060.323232,169.5272727,412.7757576
yeara,8/21/2015,134,539.95842,226.3284823,462.3866944
yeara,8/22/2015,135,482.2199593,191.4378819,752.5784114
yeara,8/23/2015,136,470.3488372,203.2325581,531.255814
yeara,8/25/2015,137,687.6190476,122.2857143,519.6666667
yeara,8/26/2015,138,882.6679842,140.0869565,396.4505929
yeara,8/27/2015,139,801.6632444,209.1252567,439.4414784
yeara,8/28/2015,140,1114.818356,245.7361377,531.4646272
yeara,8/29/2015,141,1484.696356,170.0161943,517.3117409
yeara,8/30/2015,142,2255.884692,172.9145129,410.528827
yeara,8/31/2015,143,2110.74364,326.4657534,704.3131115
yeara,12/13/2015,144,815.8230453,337.8461538,677.563786
yeara,12/14/2015,145,747.6803119,255.1111111,412.6003899
yeara,12/15/2015,146,980.5555556,267.3684211,476.3539095
yeara,12/16/2015,147,845.4526749,326.4657534,
yeara,12/17/2015,148,672.9591837,108.3209877,
yeara,12/18/2015,149,965.48,208.4326531,
yeara,12/19/2015,150,1105.306931,393.912,
yearb,1/1/2016,151,670.3118503,346.0277228,353.995842
yearb,1/2/2016,152,991.0615711,225.7297297,703.5838641
yearb,1/3/2016,153,883.7860082,379.0318471,492.1399177
yearb,1/4/2016,154,1340.890269,339.2592593,784.6956522
yearb,1/5/2016,155,1247.252964,315.9503106,655.4782609
yearb,1/6/2016,156,1139.917695,345.5573123,405.0946502
yearb,1/7/2016,157,987.8163265,144.5679012,453.4367347
yearb,1/8/2016,158,1155.680473,326.9387755,558.8481262
yearb,1/9/2016,159,1427.02,254.0591716,539.168
yearb,1/10/2016,160,1921.461538,329.976,565.2769231
yearb,1/11/2016,161,1761.809145,336.3923077,566.6163022
yearb,1/12/2016,162,1675,367.5149105,649.9
yearb,1/13/2016,163,2844.99002,258.075,777.1576846
yearb,1/14/2016,164,719.4011976,434.8023952,339.2095808
yearb,1/15/2016,165,712.038835,214.3473054,387.2776699
