id,day,date,s_est,s_cort,s_pro,id_1,day_1,date_1,s_est1,s_cort_1,s_pro1,,y1,s_est,,y2,s_est,,,,,
yeara,41,5/18/2015,1109.7,344.7,140.4,yearb,41,5/18/2016,1750.1,305.3,488.6,,5/15/2015,788.7739464,,5/12/2016,674,,,,,
yeara,42,5/19/2015,916.8,544,165.5,yearb,42,5/19/2016,1798.7,302.5,381.2,,5/16/2015,1410.098619,,5/13/2016,747.7,,,,,
yeara,43,5/23/2015,608.6,462.8,140.3,yearb,43,5/23/2016,1153.8,222.1,298,,5/17/2015,1096.73428,,5/15/2016,876.5,,,,,
yeara,44,5/24/2015,882.4,591.4,241.9,yearb,44,5/24/2016,1711.8,260.6,352,,5/18/2015,1109.653846,,5/15/2016,1274.7,,,,,
yeara,45,5/25/2015,694.8,679.2,245.4,yearb,45,5/25/2016,1320.6,370.9,257.6,,5/19/2015,916.7916667,,5/16/2016,1653.3,,,,,
yeara,46,5/26/2015,667.5,304.4,213.6,yearb,46,5/26/2016,765.4,229.6,223.1,,5/20/2015,692.1289063,,5/17/2016,1750.1,,,,,
yeara,47,5/27/2015,404.7,401.7,216.9,yearb,47,5/28/2016,1478.6,265.1,329,,5/21/2015,457.8019802,,5/18/2016,1798.7,,,,,
yeara,48,5/28/2015,343.4,274.2,104.7,yearb,48,5/29/2016,1281.5,320,330.5,,5/22/2015,786.996124,,5/19/2016,1153.8,,,,,
yeara,49,6/1/2015,235.5,179.7,186,yearb,49,6/1/2016,1262.8,215.2,279.6,,5/23/2015,608.5546875,,5/23/2016,1711.8,,,,,
yeara,50,6/3/2015,2447,567.2,124.2,yearb,50,6/3/2016,2299.4,3583,292.6,,5/24/2015,882.4361493,,5/24/2016,1320.6,,,,,
yeara,51,6/5/2015,547.4,329.8,268.5,yearb,51,6/5/2016,1179.5,379.5,237.8,,5/25/2015,694.7524752,,5/25/2016,765.4,,,,,
yeara,52,6/6/2015,446.7,280.4,180.7,yearb,52,6/6/2016,988.8,430.9,307.4,,5/26/2015,667.4549098,,5/26/2016,1478.6,,,,,
yeara,53,6/7/2015,1797.3,719,,yearb,53,6/7/2016,2092.2,587.8,272.9,,5/27/2015,404.6978558,,5/28/2016,1281.5,,,,,
yeara,54,6/8/2015,1459.6,665.3,116.8,yearb,54,6/8/2016,1240,542.9,297.4,,5/28/2015,343.44294,,5/29/2016,1262.755102,,,,,
yeara,55,6/10/2015,1252,437.8,214.5,yearb,55,6/10/2016,1620.7,446.5,219.6,,5/29/2015,1421.507937,,6/1/2016,1870.703934,,,,,
yeara,56,6/11/2015,821.5,614.3,212.9,yearb,56,6/11/2016,865.9,266.8,225.8,,5/30/2015,1054.826884,,6/3/2016,2299.4,,,,,
yeara,57,6/12/2015,849.6,787.9,241.7,yearb,57,6/12/2016,909.2,565.6,211,,5/31/2015,1024.192308,,,,,,,,
yeara,58,6/13/2015,1215,762.3,254.1,yearb,58,6/13/2016,932,423.5,234.8,,6/1/2015,235.523614,,,,,,,,
yeara,59,6/15/2015,1202.7,1106.4,154.5,yearb,59,6/15/2016,1326.2,437.1,224,,6/3/2015,2446.970297,,,,,,,,
yeara,60,6/16/2015,319.1,983.7,251.1,yearb,60,6/16/2016,1337.4,415.4,298.5,,6/4/2015,1179.580838,,,,,,,,
yeara,61,6/17/2015,566.2,833.9,285.1,yearb,61,6/17/2016,1056.6,375.6,265.1,,6/5/2015,547.3577236,,6/5/2016,1179.5,,,,,
yeara,62,6/18/2015,723.7,656.2,137,yearb,62,6/18/2016,1336.9,325.5,216.5,,6/6/2015,446.6797642,,6/6/2016,988.8,,,,,
yeara,63,6/19/2015,434.6,643.2,246.7,yearb,63,6/19/2016,800.9,239.2,198.3,,6/7/2015,1797.321773,,6/7/2016,2092.2,,,,,
yeara,64,6/21/2015,555.7,505,200.3,yearb,64,6/21/2016,1186.4,533.6,295.2,,6/8/2015,1459.596929,,6/8/2016,1240,,,,,
yeara,65,6/22/2015,1101.4,662.2,144.5,yearb,65,6/22/2016,1223.6,472.9,234.3,,6/9/2015,1023.384913,,6/10/2016,1620.7,,,,,
yeara,66,6/24/2015,617.5,632.6,172.1,yearb,66,6/24/2016,679.2,279.9,159.5,,6/10/2015,1251.99211,,6/11/2016,865.9,,,,,
yeara,67,6/25/2015,816.2,240.5,174,yearb,67,6/25/2016,1785.9,653.1,314.2,,6/11/2015,821.5039063,,,,,,,,
yeara,68,6/29/2015,962.5,410.1,163.2,yearb,68,6/29/2016,1721.6,606,222.9,,6/12/2015,849.6296296,,6/12/2016,909.2,,,,,
yeara,69,6/30/2015,384.5,240.4,,yearb,69,6/30/2016,378,211.8,170.7,,6/13/2015,1214.98,,6/13/2016,932,,,,,
yeara,70,7/12/2015,1121.1,523.8,111.4,yearb,70,7/12/2016,2233.2,545,315.2,,6/14/2015,667.6861167,,,,,,,,
yeara,71,7/13/2015,1100.8,459.9,335.6,yearb,71,7/13/2016,1813.2,585.6,326.3,,6/15/2015,1202.669246,,6/15/2016,1326.2,,,,,
yeara,72,7/14/2015,804.6,506.7,311,yearb,72,7/14/2016,1539.3,623.2,340.6,,6/16/2015,319.0778689,,6/16/2016,1337.4,,,,,
yeara,73,7/17/2015,846.4,432.9,141.1,yearb,73,7/17/2016,1351.3,478.2,315.7,,6/17/2015,566.199187,,6/17/2016,1056.6,,,,,
yeara,74,7/18/2015,761.2,496.1,118.5,yearb,74,7/18/2016,1062.5,6569.1,336,,6/18/2015,723.7186898,,6/18/2016,1336.9,,,,,
yeara,75,7/19/2015,891.1,604.3,145.2,yearb,75,7/19/2016,1303.4,539.6,314.5,,6/19/2015,434.612326,,6/19/2016,800.9,,,,,
yeara,76,7/20/2015,375.9,373.6,230.9,yearb,76,7/20/2016,885.2,544,290.5,,6/21/2015,737.8156313,,6/20/2016,1084.6,,,,,
yeara,77,7/21/2015,472.2,446.3,125.8,yearb,77,7/21/2016,2568.9,10838.4,458.1,,6/21/2015,555.6969697,,6/21/2016,1186.4,,,,,
yeara,78,7/22/2015,818.3,619.4,74.8,yearb,78,7/22/2016,1003.4,744.5,297.7,,6/22/2015,1101.431452,,6/22/2016,1223.6,,,,,
yeara,79,7/23/2015,412.6,225.9,195.9,yearb,79,7/23/2016,1105,566,454.5,,6/23/2015,556.008316,,,,,,6/25/2015,837.7058824,#NAME?
yeara,80,7/24/2015,1149.8,536.1,101.6,yearb,80,7/24/2016,868.5,568,279.9,,6/24/2015,617.5208333,,6/24/2016,679.2,,,6/25/2015,816.1598441,
yeara,81,7/25/2015,824.2,467.4,127,yearb,81,7/25/2016,1064.5,792.5,427.6,,6/25/2015,837.7058824,,6/25/2016,1785.9,,,,,
yeara,82,7/26/2015,344.1,122.9,187.1,yearb,82,7/26/2016,1018.7,436.6,269.3,,6/26/2015,746.0122699,,,,,,7/13/2015,1100.75,1489.09025
yeara,83,7/27/2015,625.9,310.5,94.9,yearb,83,7/27/2016,776.5,488.2,278.4,,6/27/2015,573.9183673,,,,,,7/13/2015,776.6804979,
yeara,84,7/28/2015,350.7,77.1,194.4,yearb,84,7/28/2016,1398.9,463.9,382.3,,6/28/2015,963.4897959,,,,,,,,
yeara,85,7/29/2015,841.8,250,195.1,yearb,85,7/29/2016,407.5,319.3,241.1,,6/29/2015,962.504931,,6/29/2016,1721.6,,,8/11/2015,405.2788845,432.251
yeara,86,7/30/2015,611.2,851.4,66.2,yearb,86,7/30/2016,584.1,310.9,346.5,,6/30/2015,384.4747082,,6/30/2016,378,,,8/11/2015,459.2248062,
yeara,87,7/31/2015,1250,456.9,127.4,yearb,87,7/31/2016,717.2,634.6,312.7,,7/1/2015,882.4758221,,,,,,,,
yeara,88,8/1/2015,455.8,273.7,87,yearb,88,8/1/2016,2656.3,1066.7,378.7,,7/2/2015,352.1153846,,,,,,8/21/2016,654,1055.65
yeara,89,8/3/2015,421.8,172.9,125,yearb,89,8/3/2016,1132.4,623.1,337.8,,7/4/2015,424.4848485,,,,,,8/21/2016,1457.3,
yeara,90,8/4/2015,730.9,370.7,158.3,yearb,90,8/4/2016,921.7,600,250.9,,7/5/2015,482.8988327,,,,,,,,
yeara,91,8/5/2015,490.5,288.4,132.9,yearb,91,8/5/2016,939.3,1099.8,389.2,,7/6/2015,413.68,,,,,,,,
yeara,92,8/6/2015,310.4,155,151.6,yearb,92,8/6/2016,991.2,550.6,247.5,,7/7/2015,690.5335968,,,,,,,,
yeara,93,8/7/2015,711.3,341.9,125.7,yearb,93,8/7/2016,676.6,473.4,204.5,,7/8/2015,593.6307054,,,,,,,,
yeara,94,8/8/2015,402.8,361.3,182.9,yearb,94,8/8/2016,561.9,402.3,236.3,,7/9/2015,1255.125,,,,,,,,
yeara,95,8/9/2015,836,529.2,113.9,yearb,95,8/9/2016,434.2,957.4,171.6,,7/10/2015,910.3244275,,,,,,,,
yeara,96,8/10/2015,250.4,126.6,90.9,yearb,96,8/10/2016,782.8,474.2,250.4,,7/11/2015,2502.529183,,,,,,,,
yeara,97,8/12/2015,1001.9,628.7,74.3,yearb,97,8/12/2016,382.8,345,192.2,,,,,,,,,,,
yeara,98,8/13/2015,424.4,409.8,160.3,yearb,98,8/13/2016,477.2,528.8,182.3,,7/12/2015,1121.141199,,7/12/2016,2233.2,,,,,
yeara,99,8/14/2015,503,498.5,,yearb,99,8/14/2016,923.8,443.6,388.4,,7/13/2015,1489.09025,,7/13/2016,1813.2,,,,,
yeara,100,8/15/2015,364.3,422.1,90,yearb,100,8/15/2016,784.1,490,252.1,,,,,,,,,,,
yeara,101,8/16/2015,511.7,657.6,191.4,yearb,101,8/16/2016,386.3,349.2,186.6,,7/14/2015,804.6346154,,7/14/2016,1539.3,,,,,
yeara,102,8/17/2015,1543.4,494.7,61.4,yearb,102,8/17/2016,678.8,448.7,181,,7/15/2015,1068.436874,,,,,,,,
yeara,103,8/18/2015,379,404.2,166.1,yearb,103,8/18/2016,773.7,850.6,267.6,,7/16/2015,1863.463035,,,,,,,,
yeara,104,8/19/2015,1201.9,756.6,119.7,yearb,104,8/19/2016,643.6,432.6,270.8,,7/17/2015,846.4413519,,7/17/2016,1351.3,,,,,
yeara,105,8/20/2015,521.3,473.5,145.8,yearb,105,8/20/2016,593.4,465.6,177.4,,7/18/2015,761.1570248,,7/18/2016,1062.5,,,,,
yeara,106,8/21/2015,1478.7,540.7,183.3,yearb,106,8/21/2016,1457.3,714.5,399.2,,7/19/2015,891.1491935,,7/19/2016,1303.4,,,,,
yeara,107,8/22/2015,885.2,272.9,152.3,yearb,107,8/22/2016,802.2,486,312.7,,7/20/2015,375.8531746,,7/20/2016,885.2,,,,,
yeara,108,8/23/2015,1268.2,411.7,178.1,yearb,108,8/23/2016,351.3,402.4,150.9,,7/21/2015,472.248996,,7/21/2016,2568.9,,,,,
yeara,109,8/24/2015,2650.2,1641,116.5,yearb,109,8/24/2016,490.3,324.6,148.8,,7/22/2015,818.254902,,7/22/2016,1003.4,,,,,
yeara,110,8/25/2015,1502.9,525.7,190.7,yearb,110,8/25/2016,628.7,443,181.5,,7/23/2015,412.5527831,,7/23/2016,1105,,,,,
yeara,111,8/26/2015,794.4,453.4,86,yearb,111,8/26/2016,527.5,429.6,232.4,,7/24/2015,1149.772727,,7/24/2016,868.5,,,,,
yeara,112,8/27/2015,999.5,376.8,159.7,yearb,112,8/27/2016,707.5,590.6,212.8,,7/25/2015,824.185567,,7/25/2016,1064.5,,,,,
yeara,113,8/28/2015,1185.6,374.2,191.6,yearb,113,8/28/2016,734.1,564,239.8,,7/26/2015,344.0740741,,7/26/2016,1018.7,,,,,
yeara,114,8/29/2015,1928.4,451.7,144.6,yearb,114,8/29/2016,702.6,630.3,213.6,,7/27/2015,625.9038462,,7/27/2016,776.5,,,,,
yeara,115,8/30/2015,1378.8,225.7,145.6,yearb,115,8/30/2016,582.5,550,217.4,,7/28/2015,350.6639839,,7/28/2016,1398.9,,,,,
yeara,116,8/31/2015,1287.6,162,106.7,yearb,116,8/31/2016,467.8,367.4,131.8,,7/29/2015,841.8410853,,7/29/2016,407.5,,,,,
,,,,,,,,,,,,,7/30/2015,611.1632653,,7/30/2016,584.1,,,,,
,,,,,,,,,,,,,7/31/2015,1250.039216,,7/31/2016,717.2,,,,,
,,,,,,,,,,,,,8/1/2015,455.8269231,,8/1/2016,2656.3,,,,,
,,,,,,,,,,,,,8/2/2015,546.506986,,,,,,,,
,,,,,,,,,,,,,8/3/2015,421.8019802,,8/3/2016,1132.4,,,,,
,,,,,,,,,,,,,8/4/2015,730.8582834,,8/4/2016,921.7,,,,,
,,,,,,,,,,,,,8/5/2015,490.4958678,,8/5/2016,939.3,,,,,
,,,,,,,,,,,,,8/6/2015,310.3784861,,8/6/2016,991.2,,,,,
,,,,,,,,,,,,,8/7/2015,711.2936345,,8/7/2016,676.6,,,,,
,,,,,,,,,,,,,8/8/2015,402.7692308,,8/8/2016,561.9,,,,,
,,,,,,,,,,,,,8/9/2015,836.0437376,,8/9/2016,434.2,,,,,
,,,,,,,,,,,,,8/10/2015,250.42,,8/10/2016,782.8,,,,,
,,,,,,,,,,,,,8/11/2015,432.251,,,,,,,,
,,,,,,,,,,,,,8/12/2015,1001.9,,8/12/2016,382.8,,,,,
,,,,,,,,,,,,,8/13/2015,424.3570058,,8/13/2016,477.2,,,,,
,,,,,,,,,,,,,8/14/2015,502.9614604,,8/14/2016,923.8,,,,,
,,,,,,,,,,,,,8/15/2015,364.2743539,,8/15/2016,784.1,,,,,
,,,,,,,,,,,,,8/16/2015,511.6633663,,8/16/2016,386.3,,,,,
,,,,,,,,,,,,,8/17/2015,1543.423077,,8/17/2016,678.8,,,,,
,,,,,,,,,,,,,8/18/2015,378.9866157,,8/18/2016,773.7,,,,,
,,,,,,,,,,,,,8/19/2015,1201.936759,,8/19/2016,643.6,,,,,
,,,,,,,,,,,,,8/20/2015,521.257485,,8/20/2016,593.4,,,,,
,,,,,,,,,,,,,8/21/2015,1478.732943,,8/21/2016,1055.65,,,,,
,,,,,,,,,,,,,8/22/2015,885.2446184,,8/22/2016,802.2,,,,,
,,,,,,,,,,,,,8/23/2015,1268.154762,,8/23/2016,351.3,,,,,
,,,,,,,,,,,,,8/24/2015,2650.159681,,8/24/2016,490.3,,,,,
,,,,,,,,,,,,,8/25/2015,1502.922465,,8/25/2016,628.7,,,,,
,,,,,,,,,,,,,8/26/2015,794.3866944,,8/26/2016,527.5,,,,,
,,,,,,,,,,,,,8/27/2015,999.5238095,,8/27/2016,707.5,,,,,
,,,,,,,,,,,,,8/28/2015,1185.571142,,8/28/2016,734.1,,,,,
,,,,,,,,,,,,,8/29/2015,1928.401559,,8/29/2016,702.6,,,,,
,,,,,,,,,,,,,8/30/2015,1378.8,,8/30/2016,582.5,,,,,
,,,,,,,,,,,,,8/31/2015,1287.582645,,8/31/2016,467.8,,,,,
