id,date,day,m_est,m_cort,m_pro
yeara,8/8/2015,121,809.5069034,1,261.9408284
yeara,8/9/2015,122,992.5833333,1,217.725
yeara,8/10/2015,123,1247.743902,1,67.68292683
yeara,8/11/2015,124,1061.396304,1,258.9486653
yeara,8/12/2015,125,909.8837209,1,340.255814
yeara,8/13/2015,126,3923.083004,1,248.0158103
yeara,8/14/2015,127,609.0891473,1,415.5348837
yeara,8/15/2015,128,445.3469388,1,160.5306122
yeara,8/16/2015,129,765.9719439,1,89.60320641
yeara,8/17/2015,130,1684.045643,1,252.2987552
yeara,8/18/2015,131,1174.802495,1,248.4823285
yeara,8/19/2015,132,624.0588235,1,331.6941176
yeara,8/20/2015,133,1060.323232,1,169.5272727
yeara,8/21/2015,134,539.95842,1,226.3284823
yeara,8/22/2015,135,482.2199593,1,191.4378819
yeara,8/23/2015,136,470.3488372,1,203.2325581
yeara,8/25/2015,137,687.6190476,1,122.2857143
yeara,8/26/2015,138,882.6679842,1,140.0869565
yeara,8/27/2015,139,801.6632444,1,209.1252567
yeara,8/28/2015,140,1114.818356,1,245.7361377
yeara,8/29/2015,141,1484.696356,1,170.0161943
yeara,8/30/2015,142,2255.884692,1,172.9145129
yeara,8/31/2015,143,2110.74364,1,326.4657534
yeara,12/13/2015,144,815.8230453,1,337.8461538
yeara,12/14/2015,145,747.6803119,1,255.1111111
yeara,12/15/2015,146,980.5555556,1,267.3684211
yeara,12/16/2015,147,845.4526749,1,326.4657534
yeara,12/17/2015,148,672.9591837,1,108.3209877
yeara,12/18/2015,149,965.48,1,208.4326531
yeara,12/19/2015,150,1105.306931,1,393.912
yearb,1/1/2016,151,670.3118503,1,346.0277228
yearb,1/2/2016,152,991.0615711,1,225.7297297
yearb,1/3/2016,153,883.7860082,1,379.0318471
yearb,1/4/2016,154,1340.890269,1,339.2592593
yearb,1/5/2016,155,1247.252964,1,315.9503106
yearb,1/6/2016,156,1139.917695,1,345.5573123
yearb,1/7/2016,157,987.8163265,1,144.5679012
yearb,1/8/2016,158,1155.680473,1,326.9387755
yearb,1/9/2016,159,1427.02,1,254.0591716
yearb,1/10/2016,160,1921.461538,1,329.976
yearb,1/11/2016,161,1761.809145,1,336.3923077
yearb,1/12/2016,162,1675,1,367.5149105
yearb,1/13/2016,163,2844.99002,1,258.075
yearb,1/14/2016,164,719.4011976,1,434.8023952
yearb,1/15/2016,165,712.038835,1,214.3473054
yearb,1/16/2016,166,732.0408163,1,263.6737864
yearb,1/17/2016,167,683.7649402,1,369.1102041
yearb,1/18/2016,168,951.6700201,1,312.310757
yearb,1/19/2016,169,1506.803922,1,507.0422535
yearb,1/20/2016,170,1346.605691,1,446.1176471
yearb,1/21/2016,171,2155.393939,1,378.0731707
yearb,1/22/2016,172,1305.489022,1,474.0363636
yearb,1/23/2016,173,1494.603175,1,426.6826347
yearb,1/24/2016,174,699.7368421,1,259.9285714
yearb,1/25/2016,175,886.9685039,1,305.708502
yearb,1/26/2016,176,1010.909091,1,306.9212598
yearb,1/27/2016,177,585.2631579,1,309.1636364
yearb,1/28/2016,178,532.0750988,1,189.0526316
yearb,1/29/2016,179,776.4848485,1,192.6640316
yearb,1/30/2016,180,1925.317919,1,299.3454545
yearb,1/31/2016,181,988.4241245,1,582.7976879
yearb,2/1/2016,182,1568.203125,1,310.1322957
yearb,2/2/2016,183,1491.284585,1,343.6875
yearb,2/3/2016,184,1929.719439,1,315.4624506
yearb,2/4/2016,185,1875.964215,1,330.5651303
yearb,2/5/2016,186,2373.938224,1,387.554672
yearb,2/6/2016,187,545.7746479,1,311.1428571
yearb,2/7/2016,188,1295.769981,1,178.1891348
yearb,2/8/2016,189,1659.860835,1,295.5087719
yearb,2/9/2016,190,2762.811881,1,360.7157058
yearb,2/10/2016,191,2058.585462,1,422.9465347
yearb,2/11/2016,192,2462.192308,1,340.762279
yearb,2/12/2016,193,1778.31068,1,279.6923077
yearb,2/13/2016,194,2588.431772,1,262.7650485
yearb,2/14/2016,195,857.02,1,336.5376782
yearb,2/15/2016,196,1532.768031,1,362.376
yearb,2/16/2016,197,2113.727088,1,163.3684211
yearb,2/17/2016,198,2273.910387,1,184.5458248
yearb,2/18/2016,199,951.2851406,1,181.0264766
yearb,2/19/2016,200,1472.217742,1,133.6565657
yearb,2/20/2016,201,158.5686654,1,380.25
yearb,2/21/2016,202,1455.898438,1,73.09090909
yearb,2/22/2016,203,1393.722772,1,271.8984375
yearb,2/23/2016,204,1310.039216,1,273.8138614
yearb,2/24/2016,205,1149.787645,1,379.5529412
yearb,2/25/2016,206,1068.822314,1,243.6602317
yearb,2/26/2016,207,724.6850394,1,286.7355372
yearb,2/27/2016,208,285.5060729,1,261.496063
yearb,2/28/2016,209,731.9556452,1,219.8623482
yearb,2/29/2016,210,1724.038462,1,228.5564516
yearb,3/1/2016,211,466.3600783,1,254.1686747
yearb,3/2/2016,212,870.1386139,1,368.8062622
yearb,3/3/2016,213,1016.546906,1,338.1861386
yearb,3/4/2016,214,468.5062241,1,353.1017964
yearb,3/5/2016,215,1413.034623,1,244.5311203
yearb,3/6/2016,216,1181.040816,1,430.3869654
yearb,3/7/2016,217,462.4902724,1,348.0979592
yearb,3/8/2016,218,626.7184466,1,307.8910506
yearb,3/9/2016,219,1319.524752,1,328.7533981
yearb,3/10/2016,220,850.0779727,1,377.1089109
yearb,3/11/2016,221,433.7449393,1,334.5964912
yearb,3/12/2016,222,1358.439425,1,180.582996
yearb,3/13/2016,223,822.7360308,1,349.1334702
yearb,3/14/2016,224,1296.115385,1,350.0809249
yearb,3/15/2016,225,1541.77551,1,340.7538462
yearb,3/16/2016,226,1645.613682,1,359.4857143
yearb,3/17/2016,227,1300.736196,1,389.8430584
yearb,3/18/2016,228,1508.49505,1,275.7791411
yearb,3/19/2016,229,1190.838446,1,309.1722772
yearb,3/20/2016,230,506.3510848,1,347.9263804
yearb,3/21/2016,231,1962.370062,1,91.85798817
yearb,3/22/2016,232,890.8436214,1,371.002079
yearb,3/23/2016,233,1446.097561,1,317.9259259
yearb,3/24/2016,234,1682.18,1,336.6585366
yearb,3/25/2016,235,776.6336634,1,416.448
yearb,3/26/2016,236,841.1597374,1,290.2811881
yearb,3/27/2016,237,916.765873,1,300.6827133
yearb,3/28/2016,238,813.2591093,1,212.4285714
yearb,3/29/2016,239,632.8543307,1,282.0242915
yearb,3/30/2016,240,1024.13442,1,248.2440945
yearb,3/31/2016,241,901.6283525,1,274.2892057
yearb,4/1/2016,242,946.2680412,1,284
yearb,4/2/2016,243,814.194831,1,268.1072165
yearb,4/5/2016,246,401.4478114,1,329.3333333
