"","id","day","date","s_est","s_cort","s_pro","id_1","day_1","date_1","s_est1","s_cort_1","s_pro1"
"67","yeara",67,"6/13/2015",1215,762.3,285.1,"yearb",67,"6/20/2016",1084.6,308.1,197.3
"69","yeara",69,"6/15/2015",1202.7,1106.4,246.7,"yearb",69,"6/22/2016",1223.6,472.9,234.3
"70","yeara",70,"6/16/2015",319.1,983.7,165.8,"yearb",70,"6/24/2016",679.2,279.9,159.5
"71","yeara",71,"6/17/2015",566.2,833.9,200.3,"yearb",71,"6/25/2016",1785.9,653.1,314.2
"72","yeara",72,"6/18/2015",723.7,656.2,144.5,"yearb",72,"6/29/2016",1721.6,606,222.9
"73","yeara",73,"6/19/2015",434.6,643.2,152.6,"yearb",73,"6/30/2016",378,211.8,170.7
"74","yeara",74,"6/21/2015",737.8,558.4,172.1,"yearb",74,"7/12/2016",2233.2,545,315.2
"75","yeara",75,"6/21/2015",555.7,505,193.4,"yearb",75,"7/13/2016",1813.2,585.6,326.3
"76","yeara",76,"6/22/2015",1101.4,662.2,174,"yearb",76,"7/14/2016",1539.3,623.2,340.6
"78","yeara",78,"6/24/2015",617.5,632.6,NA,"yearb",78,"7/18/2016",1062.5,6569.1,336
"79","yeara",79,"6/25/2015",837.7,365.6,NA,"yearb",79,"7/19/2016",1303.4,539.6,314.5
"80","yeara",80,"6/25/2015",816.2,240.5,163.2,"yearb",80,"7/20/2016",885.2,544,290.5
"84","yeara",84,"6/29/2015",962.5,410.1,176.7,"yearb",84,"7/24/2016",868.5,568,279.9
"85","yeara",85,"6/30/2015",384.5,240.4,105.5,"yearb",85,"7/25/2016",1064.5,792.5,427.6
"96","yeara",96,"7/12/2015",1121.1,523.8,198.9,"yearb",96,"8/6/2016",991.2,550.6,247.5
"97","yeara",97,"7/13/2015",1100.8,459.9,206.6,"yearb",97,"8/7/2016",676.6,473.4,204.5
"98","yeara",98,"7/13/2015",776.7,397,141.1,"yearb",98,"8/8/2016",561.9,402.3,236.3
"99","yeara",99,"7/14/2015",804.6,506.7,118.5,"yearb",99,"8/9/2016",434.2,957.4,171.6
"102","yeara",102,"7/17/2015",846.4,432.9,125.8,"yearb",102,"8/13/2016",477.2,528.8,182.3
"103","yeara",103,"7/18/2015",761.2,496.1,74.8,"yearb",103,"8/14/2016",923.8,443.6,388.4
"104","yeara",104,"7/19/2015",891.1,604.3,195.9,"yearb",104,"8/15/2016",784.1,490,252.1
"105","yeara",105,"7/20/2015",375.9,373.6,101.6,"yearb",105,"8/16/2016",386.3,349.2,186.6
"106","yeara",106,"7/21/2015",472.2,446.3,127,"yearb",106,"8/17/2016",678.8,448.7,181
"107","yeara",107,"7/22/2015",818.3,619.4,187.1,"yearb",107,"8/18/2016",773.7,850.6,267.6
"108","yeara",108,"7/23/2015",412.6,225.9,94.9,"yearb",108,"8/19/2016",643.6,432.6,270.8
"109","yeara",109,"7/24/2015",1149.8,536.1,194.4,"yearb",109,"8/20/2016",593.4,465.6,177.4
"110","yeara",110,"7/25/2015",824.2,467.4,195.1,"yearb",110,"8/21/2016",654,474.6,196.7
"111","yeara",111,"7/26/2015",344.1,122.9,66.2,"yearb",111,"8/21/2016",1457.3,714.5,399.2
"112","yeara",112,"7/27/2015",625.9,310.5,127.4,"yearb",112,"8/22/2016",802.2,486,312.7
"113","yeara",113,"7/28/2015",350.7,77.1,87,"yearb",113,"8/23/2016",351.3,402.4,150.9
"114","yeara",114,"7/29/2015",841.8,250,192.1,"yearb",114,"8/24/2016",490.3,324.6,148.8
"115","yeara",115,"7/30/2015",611.2,851.4,125,"yearb",115,"8/25/2016",628.7,443,181.5
"116","yeara",116,"7/31/2015",1250,456.9,158.3,"yearb",116,"8/26/2016",527.5,429.6,232.4
"117","yeara",117,"8/1/2015",455.8,273.7,132.9,"yearb",117,"8/27/2016",707.5,590.6,212.8
"119","yeara",119,"8/3/2015",421.8,172.9,125.7,"yearb",119,"8/29/2016",702.6,630.3,213.6
"120","yeara",120,"8/4/2015",730.9,370.7,182.9,"yearb",120,"8/30/2016",582.5,550,217.4
"121","yeara",121,"8/5/2015",490.5,288.4,113.9,"yearb",121,"8/31/2016",467.8,367.4,131.8
"122","yeara",122,"8/6/2015",310.4,155,90.9,"",NA,"",NA,NA,NA
"123","yeara",123,"8/7/2015",711.3,341.9,174.6,"",NA,"",NA,NA,NA
"124","yeara",124,"8/8/2015",402.8,361.3,74.3,"",NA,"",NA,NA,NA
"125","yeara",125,"8/9/2015",836,529.2,160.3,"",NA,"",NA,NA,NA
"126","yeara",126,"8/10/2015",250.4,126.6,NA,"",NA,"",NA,NA,NA
"128","yeara",128,"8/12/2015",1001.9,628.7,191.4,"",NA,"",NA,NA,NA
"129","yeara",129,"8/13/2015",424.4,409.8,61.4,"",NA,"",NA,NA,NA
"130","yeara",130,"8/14/2015",503,498.5,166.1,"",NA,"",NA,NA,NA
"131","yeara",131,"8/15/2015",364.3,422.1,119.7,"",NA,"",NA,NA,NA
"132","yeara",132,"8/16/2015",511.7,657.6,145.8,"",NA,"",NA,NA,NA
"133","yeara",133,"8/17/2015",1543.4,494.7,183.3,"",NA,"",NA,NA,NA
"134","yeara",134,"8/18/2015",379,404.2,152.3,"",NA,"",NA,NA,NA
"135","yeara",135,"8/19/2015",1201.9,756.6,178.1,"",NA,"",NA,NA,NA
"136","yeara",136,"8/20/2015",521.3,473.5,116.5,"",NA,"",NA,NA,NA
"137","yeara",137,"8/21/2015",1478.7,540.7,190.7,"",NA,"",NA,NA,NA
"138","yeara",138,"8/22/2015",885.2,272.9,86,"",NA,"",NA,NA,NA
"139","yeara",139,"8/23/2015",1268.2,411.7,159.7,"",NA,"",NA,NA,NA
"140","yeara",140,"8/24/2015",2650.2,1641,191.6,"",NA,"",NA,NA,NA
"141","yeara",141,"8/25/2015",1502.9,525.7,144.6,"",NA,"",NA,NA,NA
"142","yeara",142,"8/26/2015",794.4,453.4,145.6,"",NA,"",NA,NA,NA
"143","yeara",143,"8/27/2015",999.5,376.8,106.7,"",NA,"",NA,NA,NA
"144","yeara",144,"8/28/2015",1185.6,374.2,165.1,"",NA,"",NA,NA,NA
"145","yeara",145,"8/29/2015",1928.4,451.7,209.4,"",NA,"",NA,NA,NA
"146","yeara",146,"8/30/2015",1378.8,225.7,NA,"",NA,"",NA,NA,NA
"147","yeara",147,"8/31/2015",1287.6,162,NA,"",NA,"",NA,NA,NA
"7","yeara",7,"4/9/2015",2067.8,300.7,158.9,"yearb",7,"4/10/2016",918.8,272.9,290.3
"38","yeara",38,"5/14/2015",2729.3,421.4,181,"yearb",38,"5/11/2016",1219.2,203,310.8
"44","yeara",44,"5/20/2015",692.1,471,144,"yearb",44,"5/18/2016",1750.1,305.3,488.6
"45","yeara",45,"5/21/2015",457.8,270.6,123.9,"yearb",45,"5/19/2016",1798.7,302.5,381.2
"46","yeara",46,"5/22/2015",787,268.4,174.8,"yearb",46,"5/23/2016",1153.8,222.1,298
"51","yeara",51,"5/27/2015",404.7,401.7,104.7,"yearb",51,"5/29/2016",1281.5,320,330.5
"54","yeara",54,"5/30/2015",1054.8,329.3,177.2,"yearb",54,"6/5/2016",1179.5,379.5,237.8
"55","yeara",55,"5/31/2015",1024.2,418.2,186,"yearb",55,"6/6/2016",988.8,430.9,307.4
"58","yeara",58,"6/4/2015",1179.6,515.2,180.7,"yearb",58,"6/10/2016",1620.7,446.5,219.6
"63","yeara",63,"6/9/2015",1023.4,578.9,241.7,"yearb",63,"6/16/2016",1337.4,415.4,298.5
"68","yeara",68,"6/14/2015",667.7,739,137,"yearb",68,"6/21/2016",1186.4,533.6,295.2
"77","yeara",77,"6/23/2015",556,440.6,144.9,"yearb",77,"7/17/2016",1351.3,478.2,315.7
"81","yeara",81,"6/26/2015",746,442.6,NA,"yearb",81,"7/21/2016",2568.9,10838.4,458.1
"82","yeara",82,"6/27/2015",573.9,141.4,NA,"yearb",82,"7/22/2016",1003.4,744.5,297.7
